WDID,Agency,Facility_Name,NPDES_No,Region,Major/Minor,Order_No,Facility_URL,Reg_Measure_ID,Reg_Measure_Type,PDF_File,Shared_PDF,Total_PDFs_Available
2 417019001,Millbrae City,Millbrae WPCP,CA0037532,2,Major,R2-2024-0005,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=240791,456225,NPDES PERMIT,R2-2024-0005 (Millbrae NPDES Permit).pdf,No,1
9000003903,Mountain House CSD,Mountain House WWTP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=241598,453528,NPDES PERMIT,r5-2023-0033-01_npdes.pdf,Yes,4
9000003903,Mountain House CSD,Mountain House WWTP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=241598,453528,NPDES PERMIT,r5-2023-0033_npdes.pdf,Yes,4
9000003903,Mountain House CSD,Mountain House WWTP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=241598,453528,NPDES PERMIT,r5-2023-0033_npdes_mod.pdf,Yes,4
5A290107002,Nevada CSD No 1,Cascade Shores WWTP,CAC442921,5S,Minor,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=213432,442921,ENROLLEE - NPDES,r5-2017-0085-015.pdf,No,1
5A290104001,Nevada CSD No 1,Lake Wildwood WWTP,CAC439953,5S,"Major, Minor",R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=236292,439953,ENROLLEE - NPDES,nvcosd1_wildwood_wwtp_final_noa.pdf,No,1
7A130109011,Niland County Sanitation District,Niland SD WWTP,CA0104451,7,Minor,R7-2025-0017,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=244348,461878,NPDES PERMIT,R7-2025-0017.pdf,No,5
2 215022001,Novato Sanitary District,Novato and Ignacio WWTP,CA0037958,2,Major,R2-2020-0019,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=244705,438539,NPDES PERMIT,R2-2020-0019.pdf,No,1
9000003903,Oceanside City,San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255392,434521,NPDES PERMIT,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.pdf,Yes,5
9000003903,Oceanside City,San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255392,434521,NPDES PERMIT,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.pdf,Yes,5
9000003903,Oceanside City,San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255392,434521,NPDES PERMIT,Oceanside_Final_Adopted_Order_R9-2019-0166 (1).pdf,Yes,5
9000003903,Oceanside City,San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255392,434521,NPDES PERMIT,R9-2019-0166_Amended2020 signed dwg 08-17-20.pdf,Yes,5
9000003903,Oceanside City,San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255392,434521,NPDES PERMIT,R9-2020-0190_Final_Order signed dwg 08-17-20.pdf,Yes,5
9 000000146,Oceanside City,Oceanside Ocean Outfall,CA0107433,9,Major,R9-2019-0166,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=245795,434521,NPDES PERMIT,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.pdf,Yes,5
9 000000146,Oceanside City,Oceanside Ocean Outfall,CA0107433,9,Major,R9-2019-0166,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=245795,434521,NPDES PERMIT,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.pdf,Yes,5
9 000000146,Oceanside City,Oceanside Ocean Outfall,CA0107433,9,Major,R9-2019-0166,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=245795,434521,NPDES PERMIT,Oceanside_Final_Adopted_Order_R9-2019-0166 (1).pdf,Yes,5
9 000000146,Oceanside City,Oceanside Ocean Outfall,CA0107433,9,Major,R9-2019-0166,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=245795,434521,NPDES PERMIT,R9-2019-0166_Amended2020 signed dwg 08-17-20.pdf,Yes,5
9 000000146,Oceanside City,Oceanside Ocean Outfall,CA0107433,9,Major,R9-2019-0166,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=245795,434521,NPDES PERMIT,R9-2020-0190_Final_Order signed dwg 08-17-20.pdf,Yes,5
9000003903,Oceanside City,"La Salina WWTP, Oceanside Ocean Outfall",,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=236019,434521,NPDES PERMIT,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.pdf,Yes,5
9000003903,Oceanside City,"La Salina WWTP, Oceanside Ocean Outfall",,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=236019,434521,NPDES PERMIT,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.pdf,Yes,5
9000003903,Oceanside City,"La Salina WWTP, Oceanside Ocean Outfall",,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=236019,434521,NPDES PERMIT,Oceanside_Final_Adopted_Order_R9-2019-0166 (1).pdf,Yes,5
9000003903,Oceanside City,"La Salina WWTP, Oceanside Ocean Outfall",,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=236019,434521,NPDES PERMIT,R9-2019-0166_Amended2020 signed dwg 08-17-20.pdf,Yes,5
9000003903,Oceanside City,"La Salina WWTP, Oceanside Ocean Outfall",,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=236019,434521,NPDES PERMIT,R9-2020-0190_Final_Order signed dwg 08-17-20.pdf,Yes,5
4A560104001,Ojai Valley Sanitary District,Ojai Valley WWTP,CA0053961,4,Major,R4-2023-0430,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=246616,455050,NPDES PERMIT,Adopted Order Ojai NPDES CI 4245 12212023_ADAchecked.pdf,No,5
4A560105001,Oxnard City Wastewater Division,Oxnard WWTP,CA0054097,4,Major,R4-2024-0252,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=246946,455452,NPDES PERMIT,Adopted OWRRF NPDES CI-2022 06172024 signed.pdf,No,3
2 494006001,Petaluma City PWD,Petaluma Ellis Creek Water Recycling Facility (NPDES Permit),CA0037810,2,Major,R2-2021-0008,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=248087,443296,NPDES PERMIT,Order R2-2021-0008 (1).pdf,No,1
5A090100001,Placerville City,Hangtown Creek WRF,CAC439621,5S,Major,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=229595,439621,ENROLLEE - NPDES,r5-2017-0085-007.pdf,No,1
5A320102001,Portola City,Portola WWTP,CA0077844,5R,Minor,R5-2024-0023,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=248936,451326,NPDES PERMIT,r5-2024-0023_npdes.pdf,No,1
9000003903,Rialto City,Rialto WWRF,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=259149,381374,NPDES PERMIT,14-0010_Rialto_City_of_Renewal_WDR_MWWTP.pdf,No,1
9000003903,Richmond City,Richmond WPCP,,2,Major,R2-2024-0008,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=252657,457271,NPDES PERMIT,R2-2024-0008 West County.pdf,Yes,1
9000003903,Riverside City,Riverside City WWRF,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=259150,376054,NPDES PERMIT,13-0016_Riverside_City_of_Dept_of_Public_Works.pdf,No,2
5A310106001,Roseville City,Dry Creek WWTP,CAC426201,5S,Major,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=220768,426201,ENROLLEE - NPDES,roseville_drycreek_wwtp_mgo_noa_final.pdf,Yes,1
2 417068001,SEWER AUTHORITY MID-COASTSIDE,SAM WWTP (Sewer Authority Mid-Coastside WWTP),CA0038598,2,Major,R2-2023-0002,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255139,451900,NPDES PERMIT,CA0038598 SAM Order R2-2023-0002.pdf,No,1
9000003903,SOCWA-Recycled Water Use,SOCWA - Coastal TP,,SB,,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=257850,446048,NPDES PERMIT,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,1
9000003903,SOCWA-Recycled Water Use,SOCWA - Regional TP,,9,,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=241053,446048,NPDES PERMIT,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,1
9000003903,San Clemente City,City of San Clemente WRP,,9,,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255218,438059,NPDES PERMIT,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,5
9000003903,San Clemente City,City of San Clemente WRP,,9,,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255218,438059,NPDES PERMIT,att._1_to_amending_order_sjcoo.pdf,Yes,5
9000003903,San Clemente City,City of San Clemente WRP,,9,,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255218,438059,NPDES PERMIT,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf,Yes,5
9000003903,San Clemente City,City of San Clemente WRP,,9,,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=255218,438059,NPDES PERMIT,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf,Yes,5
9000003903,Sacramento Regional County Sanitation District (Regional San),EchoWater Resource Recovery Facility,,5S,Major,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=254981,443209,NPDES PERMIT,r5-2021-0019-01_npdes.pdf,Yes,5
9000003903,Sacramento Regional County Sanitation District (Regional San),EchoWater Resource Recovery Facility,,5S,Major,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=254981,443209,NPDES PERMIT,r5-2021-0019-02.pdf,Yes,5
9000003903,Sacramento Regional County Sanitation District (Regional San),EchoWater Resource Recovery Facility,,5S,Major,2016-0068-DDW,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=254981,443209,NPDES PERMIT,r5-2021-0019_npdes.pdf,Yes,5
9 000003607,San Diego City Metropolitan Wastewater Dept (Public Utilities),City of San Diego North City Pure Water Facility,CA0109398,9,Major,R9-2020-0001,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=850597,424907,NPDES PERMIT,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.pdf,Yes,2
9000003903,San Diego City Metropolitan Wastewater Dept (Public Utilities),North City WRP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=244506,424907,NPDES PERMIT,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.pdf,Yes,2
2 417032001,San Francisco International Airport,SF Arprt Mel Leong TP-Industrl,CA0038318,2,Major,R2-2025-0002,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=256506,459999,NPDES PERMIT,SFO Aiport NPDES Permit Order R2-2025-0002.pdf,Yes,1
