Facility Name,place_id
Earlimart WWTF,273169
Camanche South Shore WWTP,212853
Temecula Valley RWRF,263145
Sun City RWRF,259223
Perris Valley RWRF,259209
Moreno Valley RWRF,259203
San Jacinto Valley RWRF,259193
Eastern Sierra CSD WWTF,222071
EID Master Reclamation Permit,239773
Lift Station Equalization Pond,236985
EVMWD Railroad Canyon WWRF,259210
EVMWD Horsethief Canyon WWTP,259194
Escalon Treatment Plant,222916
Hale Avenue Resource Recovery Facility (HARRF) Recycled Water,229727
Esparto CSD WWTF,222947
Farm MWC WWTP,259201
"Fiero Lane Water Company, Inc.",224429
Firebaugh WWTF,273114
Forest Home CC WWTP,259190
Franklin WWTF,273170
Burger King/Texaco Leachfield,210829
Oak Creek MHP WWTF,245554
Auburn LK Onsite WW Disp,206726
Gerber STP,227080
Gold Beach Park,227425
Golden Hills WWTF,227503
Gorman WWTP,229051
Liberty High School WWTF,236967
Grayson Comm Serv Dist WTF,227843
Grenada Sanitary District STP,227962
Groveland WWTF,228057
Hamilton City CSD WWTP,229544
Hanford WWTF,273118
Lakeside Trailer Park,236336
Hidden Valley Lake WRF,230282
Hilmar CWD WWTF,273141
Hilton Creek CSD Package STP,230429
Hoberg's Resort,239190
North Fork Mill Housing Facility,244529
Huntington Pines Mutual Water Company,230914
Inyokern CSD WTF,232625
"Irish Beach Subdivision Units 1,2,3,4",232641
Isleton WWTP,232721
Ivanhoe WWTF,273172
June Lake PUD STP,234123
Lake Cnty SD Kelseyville WWD No. 3 Kelseyville WWTF,736188
Kerman WWTF,234841
Kern Co CSA 40-Pine Mountain Club,234854
North Shafter Farm Labor Camp,244567
Kern Sanitation Authority WWTF,273142
Kern Valley Healthcare District WWTF,234913
Kettleman City WWTF,273173
Kirkwood Meadows WWTF,235088
Klamath CSD STP (Del Norte Community Development),235102
Knights Landing CSD WWTP,235144
Lake Arrowhead CSD WTFS,236181
Southeast Regional WW System,257927
NW Regional Waste Disp Fac,244785
Middletown STP (SD 2-2),240655
Hacienda WWTP,229466
Lake Hemet MWD WWTP,259157
Le Grand WWTF,273176
Leavitt Lake Sewage Treatment Ponds,236765
Lee Vining WTF,236786
Leland Meadow WWTP,236838
Lemon Cove WWTF,273177
Gafner Water Reclamation Facility,226637
Linden Co Water Dist WWTF,237069
Lindsay WWTF,273121
Lion's Gate Reserve,237123
Lockeford CSD WWTP,237252
London WWTF,273178
Lone Pine WWTF,237325
Lake Hughes Community WWTF,237922
Malibu WPCP,242186
Mendenhall-Munz Boys Camp WWTP,242706
Palmdale Water Reclamation Plant,247448
Windflower Point STP,272758
Lost Hills WWTF,273179
City of Loyalton and Grandi Ranch WWTF,214650
Yosemite Lakes Campground,274498
Thousand Trails RV Park - Idyllwild,259219
Wilderness Lakes WWTP,259218
Madera Cnty #8A-North Fork WWTF,201088
Madera Cnty #27-Goldside Estates WWTF,201071
Madera Cnty #2-Bass Lake WWTF,201068
Madison WWTF,239130
Yosemite Pines RV Park,274506
Mammoth Mtn Ski Area WTF,239291
Mammoth CWD STP,239283
Maricopa Wastewater Disposal Facility,273124
Yosemite West MD WWTF,274513
Markleeville Wstwtr Trtmnt Sys,239591
Marysville WWTP,239729
El Dorado MHP WWTF,222436
McClure Lake Boat Club Trailer Park,240003
McFarland WWTF,273125
I-5 & Highway 58 WWTF,273149
Sandy Mush WWTF,255535
New Don Pedro WW Facilities,244174
Mojave STP,241188
Mokelumne Hill WWTF,241192
Montague STP,241264
"Montair Subdivision, STP",241266
Monterey Regional Reclamation (Producer),726996
Murphys WWTF,241907
Higgins Village WWTF,230290
Penn Valley WWTP,247940
North San Juan WW Facility,244565
Nevada City School of the Arts WWTF,209670
Rollins Reservoir Rec Areas,253256
Scotts Flat Reservoir Rec Area,256005
Newell CWD STP,244240
Oceana Marin (North Marin CWD),245775
North of River WWTF,273143
Leoni Meadows Retreat Camp,236888
Oakwood Lake WWTF,241099
San Luis Rey Water Reclamation Facility - Recycled Water and Pure Water,255386
Odd Fellows WWTF,245805
4-S Ranch Water Reclamation Facility,202611
Orange Cove WWTF,273127
Ralph W Chapman WRF,251548
PG&E Helms Plant,230037
Pajaro Valley WMA and City of Watsonville Water Reclamation,731257
"Palm Springs Village-309, LLC Silvertip Resort Village WWTF",257153
Paradise Ranch WWTP,249771
Parlier WWTF,273128
Flying J #613,224692
Pine Springs Ranch WWTP,259204
Pinecrest WWTP,248442
Pixley WWTF,726883
Pla-Vada Community Assoc STP,248573
Point Dume Club WWRP,251021
Poplar WWTF,273183
Porterville WWTF,273130
Princeton WWTP,249211
Rancho Caballero WWTP,259152
Rancho Santa Fe San Dist Plant,251714
Santa Fe Valley WTP,255649
Redlands WWRF,259148
"UC Davis, Bodega Marine Lab (WDR)",268923
Richgrove WWTF,273184
Ridgecrest WTF,252695
Ripon Industrial & Domestic TP,252782
Sierra Ridge WWTP,256972
River City WWTF,252813
Riverbank WWTP,252871
Running Springs WWTP,259160
Konocti Harbor Resort,235208
TCWD Robinson Ranch WRF,262996
TCWD - Crystal Canyon WRP (Formerly Goren WWTP),262995
SMWD-Nichols Reseach Inst WRF,257519
Boys Ranch WWTF,210156
Salida WWTP,255081
Barstow/Daggett Airport WTF,208771
Trona & Pioneer Point WTF,266519
Lytle Creek WWTP,259197
Lytle Creek North WWTP,643085
Early Intake Wastewater System,221988
O'Shaughnessy WWTP,245520
Moccasin Powerhouse,241111
San Joaquin WWTF,273132
CSA 15 - STP,216283
Thornton Farm Labor Camp,263621
San Jose City Family Camp,214660
Bear Creek Estates WWF,209014
San Lucas WWTF,255372
Los Osos Water Recycling Facility,822816
San Luis Obispo Water Reclamation Facility,271808
San Luis Hills WWTF,260176
Santa Nella WWTF,273186
Santa Rosa City Oakmont Plant,255697
Santa Rosa WRF-Recycled WTR,255735
Scotts Valley WWTF Producer,256012
SKF CSD WWTF,273187
Silent Valley RV Park WWTP,259212
Quail Valley REC Park,251110
Snelling WWTF,273189
River Community STP,254304
Soledad Water Reclamation Facility,256483
I-5 & Jayne Avenue Facility,232097
SCWA Oceanic Properties Sea Ranch Central Plant,256057
SCRWA Reclamation Facility and Use Areas,256038
STPUD WWTP,259230
Spalding Tract Sewer System,638757
Spanish Flat WWT & Disposal Facility,258043
Springville WWTF,273190
Woodward Reservoir Reg Park,272989
Modesto Reservoir WWTP,241143
Stoco WWTF,258743
Forest Springs WWTF,224893
Rio Ramaza WW Disposal Ponds,252762
Sutter Creek WWTP,259717
SYSCO Food Services of Sacramento,739902
Tahoe Truckee Sanitation Agency,262840
Tehachapi WWTF,273136
I5 Eastside Wastewater Discharge Ponds,266620
Tejon Industrial Complex East WWTF,740731
Tejon Industrial Complex West WWTF,273156
Tejon Headquarters WWTF,263091
Tejon Ranch - Grapevine,263090
Terra Bella WWTF,273193
Tipton WWTF,273194
Tivoli Cove WWTP,267585
Sequoia Field WWTF,256309
Linnell Farm Labor Center,237114
Woodville Farm Labor Center,272986
SCICON WWTF,759028
Twain Harte WWTP,266795
Domestic WWTF (SAC CO SD 1),220470
USACOE Lake Sonoma Waste System,269534
Success Reservoir Campground,259325
Sierra Army Depot Sewage Treatment Plant,256893
"DDJC, Tracy - WWTP, Stormwater",219280
USMC-MWTC WWTC,269591
Stovepipe Wells Village,259143
USDI NPD Devils Postpile Facilities,219738
Cedar Grove WWTF,213791
Badger Pass WWTF,208519
Tuolumne Meadows WWTF,274504
Yosemite Nat Prk Hodgdon MDW,274503
Vintners Inn,270618
Meadowlark WRF,240177
Lower Moosa Canyon Recl Facil,237543
Wasco WWTF,273196
Woodfords Indian Colony WTDF,272945
Waterford WWTP,271836
Weed Shastina WWTP,271942
Weed WWTP,271945
Lake Almanor West,236178
Western Hills WWRF,259153
Western Water Recycling Facility,259198
Westley Comm Sewage Trt Fac,272279
Westport CWD,272298
City of Wheatland WWTP,214671
Whispering Palms WPCF,272418
Winters WWTF,272837
Woodbridge SD-Sewage Treatment,272919
Woodlake WWTF,273140
Woodville WWTF,273197
Wild Wings Water Recycling Facility,272537
Yosemite Lakes Clubhouse Facility,214903
Cedar Lodge WWTF,213792
Yosemite Vista Estates,274512
Yuba Cnty Motorplex WWTF,274558
