Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Ferndale City,"Po Box 1095, Ferndale, CA 95536",Ferndale City POTW,"701 Port Kenyon Road, Ferndale, CA 95536",40.59299,-124.25944,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, NPDMUNIOTH",Active,NPDES Permit,R1-2018-0046,1B83136OHUM,CA0022721,11/14/2018,01/01/2019,,2022-12-31,0.576,"Major, Minor",A,2.0,,,,1.0,113.0,
Redway CSD,"Po Box 40, Redway, CA 95560",Redway POTW,"2750 Briceland-Thorne Road, Redway, CA 95560",40.129442,-123.824355,Wastewater Treatment Facility,4952,Humboldt,1,NPDMUNIOTH,Active,NPDES Permit,R1-2023-0004,1B83147OHUM,CA0022781,02/02/2023,04/01/2023,,2028-03-31,0.19,Minor,B,2.0,1250.0,,,1.0,45.0,
Ukiah City,"300 Seminary Avenue, Ukiah, CA 95482",Ukiah City WWTP,"300 Treatment Plant Road, Ukiah, CA 95482",39.11233,-123.19158,Wastewater Treatment Facility,4952,Mendocino,1,"NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2024-0016,1B84029OMEN,CA0022888,08/15/2024,10/01/2024,,2029-09-30,3.01,Major,A,1.0,,,,2.0,51.0,
Cloverdale City,"Po Box 217, Cloverdale, CA 95425-0217",Cloverdale City WWTP,"700 Asti Road, Cloverdale, CA 95425",38.79721,-123.01151,Wastewater Treatment Facility,4952,Sonoma,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,1B84032OSON,,,07/09/2020,,,,Major,,,,,,0.0,1.0,
Graton CSD,"Po Box 534, Graton, CA 95444",Graton CSD,"250 Ross, Sebastopol, CA 95472",38.44973,-122.88082,Wastewater Treatment Facility,4952,Sonoma,1,NPDMUNIOTH,Active,NPDES Permit,R1-2018-0001,1B84060OSON,CA0023639,05/17/2018,08/01/2018,,2023-07-31,0.14,Minor,B,1.0,,,,2.0,40.0,
Fort Bragg City,"416 North Franklin Street, Fort Bragg, CA 95437",Fort Bragg City WWTP,"281 Jere Melo Street, Fort Bragg, CA 95437",39.4387,-123.81478,Wastewater Treatment Facility,4952,Mendocino,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,1B84083OMEN,,,07/09/2020,,,,"Major, Minor",,,,,,2.0,31.0,
Humboldt County Resort Improvement District #1,"9126 Shelter Cove Road, Whitethorn, CA 95589",Shelter Cove POTW,"9126 Shelter Cove Drive, Shelter Cove, CA 95589",40.03333,-124.07778,Wastewater Treatment Facility,4952,Humboldt,1,NPDMUNIOTH,Active,NPDES Permit,R1-2022-0002,1B84086OHUM,CA0023027,02/03/2022,04/01/2022,,2027-03-31,0.17,Minor,B,2.0,,,,0.0,5.0,
Sonoma County Water Agency (SCWA),"404 Aviation Boulevard, Santa Rosa, CA 95403",SCWA Airport WRF (Airport-Larkfield-Wikiup),"Skylane Boulevard, Santa Rosa, CA 95403",38.51816,-122.8013,Wastewater Treatment Facility,4952,Sonoma,1,WDRMUNILRG,Active,WDR,R1-2019-0007,1B84124OSON,,04/18/2019,07/01/2019,,2029-04-18,0.3,,B,2.0,,,,0.0,0.0,
Samoa Pacific Group LLC,"5251 Ericson Way, Arcata, CA 95518-1069",Samoa Pacific WWTP (Samoa Town Site),"3 North Bay View Road, Samoa, CA 95564",40.8185,-124.18551,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNIOTH, WDRMUNIOTH",Active,NPDES Permit,R1-2020-0005,1B85017RHUM,CA1000001,04/16/2020,06/01/2020,,2025-05-31,0.0075,Minor,C,3.0,,,,3.0,31.0,
East Bay MUD (WPCP),"Po Box 24055 Ms-62, Oakland, CA 94623",EBMUD WPCP,"2020 Wake Avenue, Oakland, CA 94607",37.824928,-122.293919,Wastewater Treatment Facility,4952,Alameda,2,NPDMUNILRG,Active,NPDES Permit,R2-2020-0024,2 019014001,CA0037702,09/09/2020,11/01/2020,,2025-10-31,120.0,Major,A,1.0,,,,0.0,0.0,
East Bay MUD (WPCP),"Po Box 24055 Ms-62, Oakland, CA 94623",EBMUD SD#1-Wet Wthr Bypass,"2020 Wake, Oakland, CA 94623",,,Wastewater Treatment Facility,4952,Alameda,2,"NPDMUNILRG, NPDMUNIOTH",Active,NPDES Permit,R2-2025-0006,2 019014002,CA0038440,03/12/2025,05/01/2025,,2030-04-30,0.001,"Major, Minor",A,2.0,,,,1.0,10.0,
Hayward City,"777 B Street, Hayward, CA 94541",Hayward WPCF,"3700 Enterprise, Hayward, CA 94545",37.633265,-122.131435,Wastewater Treatment Facility,4952,Alameda,2,NPDMUNILRG,Active,Co-Permitee,R2-2022-0023,2 019022001,,07/13/2022,09/01/2022,,2027-08-31,18.5,Major,A,1.0,,,,0.0,0.0,
