WDID,AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified AS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Stabilization Pond,Unspecified Lagoon,AO,A2O,MLE,UCT,Four Stage Bardenpho,Five Stage Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Unspecified Nutrient Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,MHI,FBI,Unspecified Incineration,Cogeneration,Heat Recovery
8 330101001,Beaumont City,Beaumont WWTP No. 1,CA0105376,R8-2022-0042_City of Beaumont_Order_NPDES_Final 11-30-2022_esigned.pdf,No,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,PRESENT_AND_FUTURE,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,
2 482001001,Benicia City,Benicia WWTP,CA0038091,Benicia R2-2025-0001.pdf,No,PRESENT,PRESENT,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,
7A130100011,Brawley City,Brawley City WWTP,CA0104523,R7-2021-0005.pdf,No,,PRESENT,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,
5B070101001,Brentwood City,Brentwood WWTP,CA0082660,r5-2024-0020_npdes.pdf,Yes,,,PRESENT_AND_FUTURE,,,PRESENT,PRESENT,,,,FUTURE,,PRESENT,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,,
4B190101001,Burbank City DPW,Burbank WRP,CA0055531,4424_R4-2023-0358_WDR_PKG.pdf,No,,PRESENT,,,,PRESENT,FUTURE,PRESENT,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
2 417005001,Burlingame City PWD,Burlingame WWTP,CA0037788,Burlingame R2-2023-0010.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,
5C220701004,Ca Dept of Corrections & Rehabilitation,Deuel Vocational Institution,CAG995002,r5-2022-0006-036.pdf,No,,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7A131337001,Ca Dept of Corrections Imperial,CA Dept of Corrections Centinela WWTP,CA7000001,R7-2024-0019.pdf,No,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,
3 400108001,Ca Dept of Corrections San Luis Obispo,California Men's Colony WWTP,CA0047856,CMC NPDES Order R3-2020-0005 amended for new MRP.pdf,No,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,
5B05NP00014,Calaveras Cnty Water District,Forest Meadows WWRP,CA0085278,r5-2024-0067_npdes.pdf,No,,,,,PRESENT,PRESENT,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,
5B05NP00001,Calaveras Cnty Water District,Copper Cove WWRF,CA0084620,r5-2023-0013_npdes.pdf,No,,,,,PRESENT,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,
7A130101011,Calexico City,Calexico City WWTP,CA7000009,R7-2025-0007.pdf,No,,PRESENT,,,,PRESENT,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,
7A130102041,Calipatria City,Calipatria City WWTP,CA0105015,R7-2020-0010.pdf,No,,,,,PRESENT,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
2 283003001,Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,CA0037966,R2-2022-0010.pdf,Yes,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,PRESENT,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,PRESENT,,,FUTURE,,PRESENT,,FUTURE,,,,,,
9000003903,Camarillo Sanitary District,Camarillo WRP,,1278_R4-2019-0136_WDR_PKG.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,PRESENT,,,,,,,,
9000003903,Carmel Area Wastewater District,Carmel Area WWTP,,Carmel_Area_WWTP_final.pdf,No,,PRESENT,,,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,PRESENT_AND_FUTURE,,,,FUTURE,,,,,,
9000003903,Carpinteria SD,Carpinteria SD WWTP,,Revised_CA0047364_Carpinteria.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,
,Castro Valley Sanitary District,Oro Loma/Castro Valley SD WPCP,CA0038849,Order R2-2024-0006.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
2 019032001,Oro Loma Sanitary District,Oro Loma/Castro Valley SD WPCP,CA0037559,Order R2-2024-0006.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
3 401019759,Cayucos SD,Cayucos SD WWTP,CA3000001,Order R3-2020-0004_final.pdf,No,,,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,
2 071008001,Central Contra Costa Sanitary District,Central Contra Costa SD WWTP,CA0037648,R2-2022-0020.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,FUTURE,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,
5A320100001,Chester PUD,Chester STP,CA0077747,r5-2021-0022_npdes.pdf,No,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,
5A040102001,Chico City,Chico Water Pollution Control Plant,CA0079081,r5-2022-0033_npdes.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,FUTURE,,,,FUTURE,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,
9000003903,City of El Paso de Robles,Paso Robles WWTP,,Order R3-2021-0001_final.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,PRESENT,,,,,,,,,PRESENT,,,PRESENT,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,PRESENT,
3 400322963,City of Morro Bay,City of Morro Bay Water Reclamation Facility,CA3000002,7-18-22_MorroBay_finalorder.pdf,No,,,,,PRESENT,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,
2 417022002,City of Pacifica,Calera Creek Water Recycling Plant,CA0038776,CA0038776 R2-2022-0029 NPDES Permit.pdf,No,,,,,,PRESENT,PRESENT,PRESENT,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,
5A450103001,City of Redding,Clear Creek WWTP,CA0079731,r5-2022-0040_npdes.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,,,PRESENT,,,,,,,,,
5A450103004,City of Redding,Stillwater WWTF,CA0082589,r5-2023-0017_npdes.pdf,No,,PRESENT,,,,PRESENT,,,,,,,,,PRESENT,,,,,,FUTURE,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,FUTURE,FUTURE,PRESENT_AND_FUTURE,,FUTURE,,FUTURE,,,,,,
3 440124003,City of Santa Cruz,Santa Cruz WWTP,CA0048194,R3-2023-0001.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,
9000003903,Santa Cruz City,Santa Cruz WWTP,,R3-2023-0001.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,
4A560107009,City of Ventura,Ventura WRF,CA0064726,VWRF Adopted NPDES CI-10859.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,,FUTURE,FUTURE,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,PRESENT
9000003903,Ventura City,Ventura WRF,,VWRF Adopted NPDES CI-10859.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,,FUTURE,FUTURE,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,PRESENT
9000003903,Cloverdale City,Cloverdale City WWTP,,18_0034_City of Cloverdale_WWTF_NPDES.pdf,No,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
5C10NP00012,Clovis City,Clovis WWTF,CA0085235,r5-2024-0036_npdes.pdf,No,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,
9000003903,Coachella SD,Coachella SD WWTP,,R7-2020-0008.pdf,No,,,PRESENT,,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,FUTURE,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,
7A330105091,Coachella Valley WD,Coachella Valley WD WWTP,CA0104973,R7-2023-0013.pdf,No,PRESENT,,PRESENT,,,PRESENT,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,FUTURE,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,
5A310101001,Colfax City,City of Colfax WWTP,CAG585001,r5-2023-0025-001_noa.pdf,No,,,,PRESENT,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,
9000003903,Colton/San Bernardino RTT&WRA,"Colton/San Bernadino STP, RIX",,13-0032_Coton-San_Bernardino_RTT_Water_Reclam_Auth.pdf,No,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,
8 360105001,Colton City,Colton WRF,CA0105236,12-0050_City_of_Colton_WDR.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,
5A060101001,Colusa City,City of Colusa WWTP,CA0078999,r5-2022-0020_npdes.pdf,Yes,,,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,,,,,,,,,,,,,,
5A520100001,Corning City,City of Corning WWTP,CA0004995,r5-2022-0022_npdes.pdf,No,,,PRESENT,,,PRESENT,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,
9000003903,Corona City DWP,Corona WWRF #3,,14-0015_City_of_Corona_DW&P_WD&RR_WRF_No_3.pdf,No,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
9000003903,Corona City DWP,Corona WWRF #1,,R8-2020-0021_City_of_ Corona_ (final version).pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,
7A131001011,"Country Life MHRVP Asset Partners, L.P.",Country Life MHPRV Asset Partners LP WWTP,CA0104264,R7-2023-0041.pdf,No,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,
1B83009OMEN,Covelo CSD,Covelo POTW,CA0023574,23_0006_covelo_csd_06.20.2023_eosigned.pdf,No,PRESENT,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
1A84006ODN,Crescent City,Crescent City WWTP,CA0022756,23_0039_CrescentCity_NPDES.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,FUTURE,,,,,,,,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,
2 071034001,Crockett Community Services District,Port Costa WWTP,CA0037885,R2-2024-0009 Port Costa NPDES Order.pdf,No,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,
5D540132001,Cutler-Orosi JT Powers WW Authority,Cutler-Orosi WWTF,CA0081485,r5-2025-0013_ndpes.pdf,No,,,,PRESENT,,PRESENT,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,FUTURE,,,,,,
7A131057011,Date Gardens Asset Partners LP,Date Gardens MHP WWTP,CA0104841,Order R7-2023-0046- Date Gardens MHPWWTP_NPDES.pdf,No,,,,,PRESENT,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,
5A570100001,Davis City,City of Davis WWTP,CA0079049,r5-2025-0026_npdes.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,PRESENT,,,,,,,,,,
9000003903,Delta Diablo,Delta Diablo WWTP,,R2-2019-0035.pdf,Yes,,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,
9000003903,Donner Summit Public Utilities District,Donner Summit PUD WWTP,,R5-2021-0023_npdes.pdf,Yes,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,,,,
2 019033001,Dublin San Ramon Services District (WWTP NPDES & SSO),Dublin San Ramon SD WWTP,CA0037613,DSRSD - R2-2022-2024.pdf,No,,,PRESENT,,,PRESENT_AND_FUTURE,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
5A470101001,Dunsmuir City,Dunsmuir WWTP,CA0078441,r5-2024-0009_npdes.pdf,No,,,PRESENT,,,,PRESENT,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,FUTURE,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,
2 019123001,East Bay Dischargers Authority,EBDA Common Outfall,CA0037869,EBDA - R2-2022-0023.pdf,Yes,,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,,FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,FUTURE,FUTURE,FUTURE,FUTURE,,FUTURE,,,,,,
2 019014002,East Bay MUD (WPCP),EBMUD SD#1-Wet Wthr Bypass,CA0038440,R2-2025-0006.pdf,No,,,,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,
2 019014001,East Bay MUD (WPCP),EBMUD WPCP,CA0037702,R2-2020-0024.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
9 000004038,East County Advanced Water Purification Joint Powers Authority,East County Advanced Water Purification (AWP) Project,CA9000001,r9_2025_0003.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
