Unit Process,Facility/Project Name,CWNS Number,Treatment Type,Present,Projected,Change Type,Back Up,Planned Year,Additional Notes,Last Updated Date,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
Dechlorination,Valencia WRP,06004009008,Disinfection,Y,Y,No Change,N,,,04/10/2009,CA0054216,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,Santa Clara,18070102,25th Congressional District,CA,9,MAP
Dechlorination,Dry Creek WWTP,06005227001,Disinfection,Y,Y,No Change,N,,,04/07/2009,CA0079502,Individual Permit,"ROSEVILLE, CITY OF",Placer,Lower American,18020111,4th Congressional District,CA,9,MAP
Dechlorination,Riverside Regional WQCP,06008001001,Disinfection,Y,Y,No Change,N,,,01/28/2009,CA0105350,Individual Permit,"RIVERSIDE, CITY OF",Riverside,Santa Ana,18070203,41st Congressional District,CA,9,MAP
Dechlorination,Jakes Creek Trail Area WWTP,29004051101,Disinfection,Y,Y,No Change,N,,,09/14/2012,MO0132241,Individual Permit,"INDIAN POINT, VILLAGE OF",Stone,Beaver Reservoir,11010001,7th Congressional District,MO,7,MAP
Dechlorination,GREENFIELD S.E. WWTP (TALBURT),29004100001,Disinfection,N,Y,New,N,,,07/25/2012,MO0055603,Individual Permit,"GREENFIELD, CITY OF",Dade,Sac,10290106,4th Congressional District,MO,7,MAP
Dechlorination,ELLINGTON WWTP,29004124001,Disinfection,Y,Y,No Change,N,,,06/09/2008,MO0022896,Individual Permit,"ELLINGTON, CITY OF",Reynolds,Upper Black,11010007,3rd Congressional District,MO,7,MAP
Dechlorination,ARGYLE WWTP,29004132001,Disinfection,Y,Y,No Change,N,,,08/20/2012,MO0132900,Individual Permit,"ARGYLE, TOWN OF",Osage,Lower Osage,10290111,6th Congressional District,MO,7,MAP
Dechlorination,MT. VERNON WWTP,29004152001,Disinfection,Y,Y,No Change,N,,,06/27/2008,MO0022381,Individual Permit,MOUNT VERNON CITY OF,Lawrence,Spring,11070207,4th Congressional District,MO,7,MAP
Dechlorination,KOSHKONONG WWTP,29004157001,Disinfection,Y,Y,No Change,N,,,09/27/2012,MO0123404,Individual Permit,"KOSHKONONG, CITY OF",Oregon,Spring,11010010,4th Congressional District,MO,7,MAP
Dechlorination,PHILLIPSBURG WWTP,29004590001,Disinfection,Y,Y,No Change,N,,,12/17/2008,MO0125237,Individual Permit,"PHILLIPSBURG, CITY OF",Laclede,Upper Gasconade,10290201,3rd Congressional District,MO,7,MAP
Dechlorination,GRAND ISLAND WWTP,31001045001,Disinfection,Y,Y,No Change,N,,,03/06/2009,NE0043702,Individual Permit,"GRAND ISLAND     ,CITYOF",Hall,Wood,10200102,3rd Congressional District,NE,7,MAP
Dechlorination,LITTLETON/ENGLEWOOD WWTP,08000121001,Disinfection,Y,Y,"Expansion, Process Improvement",N,,,04/28/2008,CO0032999,Individual Permit,LITTLETON/ENGLEWOOD,Arapahoe,Middle South Platte-Cherry Creek,10190003,1st Congressional District,CO,8,MAP
Dechlorination,DOUGLAS LAGOON,56000010001,Disinfection,Y,Y,No Change,N,,,02/15/2012,,,"DOUGLAS, TOWN OF",Converse,Antelope,10120101,0th Congressional District,WY,8,MAP
Dechlorination,DUBOIS LAGOON,56000050001,Disinfection,Y,Y,No Change,N,,,02/15/2012,,,"DUBOIS, TOWN OF",Fremont,Upper Wind,10080001,0th Congressional District,WY,8,MAP
Dechlorination,SHOSHONI LAGOON,56000055001,Disinfection,Y,Y,No Change,N,,,04/04/2012,,,"SHOSHONI, TOWN OF",Fremont,Lower Wind,10080005,0th Congressional District,WY,8,MAP
Dechlorination,KEMMERER WWTP,56000065001,Disinfection,Y,Y,No Change,N,,,03/07/2012,,,KEMMERER-DIAMONDVILLE,Lincoln,Muddy,14040108,0th Congressional District,WY,8,MAP
Dechlorination,DIXON LAGOON,56000096001,Disinfection,Y,Y,No Change,N,,,02/15/2012,,,"DIXON, TOWN OF",Carbon,Little Snake,14050003,0th Congressional District,WY,8,MAP
"Dechlorination, Bisulphite",Benson Town,50000009001,Disinfection,Y,Y,No Change,N,,,07/10/2012,VT0100498,Individual Permit,Town of Benson,Rutland,Lake George,02010001,0th Congressional District,VT,1,MAP
"Dechlorination, Bisulphite",SHELBURNE FD#1 WPCF,50000067001,Disinfection,Y,Y,No Change,N,,,09/06/2012,VT0100331,Individual Permit,Town of SHELBURNE,Chittenden,Winooski,02010003,0th Congressional District,VT,1,MAP
"Dechlorination, Bisulphite",BOOTHBAY HARBOR WWTF,23000025001,Disinfection,Y,Y,No Change,N,,,09/18/2012,ME0100064,Individual Permit,BOOTHBAY HARBOR SEWER DISTRICT,Lincoln,St. George-Sheepscot,01050003,1st Congressional District,ME,1,MAP
"Dechlorination, Bisulphite",LYNDON STP,50000038001,Disinfection,Y,Y,No Change,N,,,09/19/2012,VT0100595,Individual Permit,"LYNDON      ,TOWNOF",Caledonia,Passumpsic,01080102,0th Congressional District,VT,1,MAP
"Dechlorination, Sulphur Dioxide ",LIVINGSTON STP,21000278001,Disinfection,Y,Y,"Increase Capacity, Replacement",N,,,09/21/2012,KY0040703,Individual Permit,LIVINGSTON STP,Rockcastle,Rockcastle,05130102,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",LOYALL STP,21000284001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0026115,Individual Permit,LOYALL STP,Harlan,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",MANCHESTER,21000286001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0029122,Individual Permit,CITY OF MANCHESTER,Clay,South Fork Kentucky,05100203,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",MIDWAY,21000290001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0028410,Individual Permit,"MIDWAY, CITY OF",Woodford,Lower Kentucky,05100205,6th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",DANVILLE - PERRYVILLE STP,21000312001,Disinfection,Y,Y,No Change,N,,,09/13/2012,KY0028355,Individual Permit,Danville - Perryville WWTP,Boyle,Rolling Fork,05140103,2nd Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",PINEVILLE STP& CSO,21000314001,Disinfection,Y,Y,No Change,N,,,08/29/2012,KY0024058,Individual Permit,PINEVILLE STP,Bell,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",MCCREARY CO WD,21000458001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0097837,Individual Permit,MCCREARY CO STP,McCreary,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",HWEA - OAK GROVE WTP,21000554001,Disinfection,Y,Y,"Increase Capacity, Process Improvement",N,,,09/25/2012,,,HOPKINSVILLE WATER ENV AUTH,Christian,Red,05130206,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",Garrard Co Fiscal Ct - Paint Lick,21000610001,Disinfection,Y,Y,No Change,N,,,10/29/2012,,,Garrard Co Fiscal Court - Paint Lick,Garrard,Lower Kentucky,05100205,2nd Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",RWRA OWENSBORO WEST WWTP,21000014001,Disinfection,Y,Y,No Change,N,,,10/04/2012,KY0020095,Individual Permit,REG WATER RESOURCE AGENCY,Daviess,Lower Ohio-Little Pigeon,05140201,2nd Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",RWRA OWENSBORO EAST,21000014002,Disinfection,Y,Y,No Change,N,,,10/05/2012,KY0073377,Individual Permit,REG WATER RESOURCE AGENCY,Daviess,Lower Ohio-Little Pigeon,05140201,2nd Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",ASHLAND,21000018001,Disinfection,Y,N,Abandonment,N,,,09/05/2012,KY0022373,Individual Permit,ASHLAND STP,Boyd,Little Scioto-Tygarts,05090103,4th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",HENDERSON STP#2 & CS,21000024002,Disinfection,Y,Y,Process Improvement,N,,,09/24/2012,KY0100293,Individual Permit,HENDERSON SOUTH STP #2,Henderson,Highland-Pigeon,05140202,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",WALTON,21000029001,Disinfection,Y,Y,No Change,N,,,09/04/2012,KY0039756,Individual Permit,WALTON STP,Boone,Middle Ohio-Laughery,05090203,4th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",FARGO WWTP,38000008001,Disinfection,Y,Y,No Change,N,,,04/20/2012,ND0022870,Individual Permit,"FARGO, CITY OF",Cass,Upper Red,09020104,0th Congressional District,ND,8,MAP
"Dechlorination, Sulphur Dioxide ",MT VERNON WWTP,21000065001,Disinfection,Y,Y,"Increase Capacity, Replacement, Process Improvement",N,,,09/21/2012,KY0024694,Individual Permit,"MOUNT VERNON, CITY OF",Rockcastle,Rockcastle,05130102,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",COLUMBIA STP,21000074001,Disinfection,Y,Y,No Change,N,,,09/12/2012,KY0024317,Individual Permit,Columbia Adair Utilities District WWTP,Adair,Upper Green,05110001,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",HWEA - CROFTON STP,21000076001,Disinfection,Y,Y,No Change,N,,,09/24/2012,,,CROFTON STP,Christian,Lower Green,05110005,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",ELIZABETHTOWN,21000082001,Disinfection,Y,Y,No Change,N,,,09/14/2012,KY0022039,Individual Permit,ELIZABETHTOWN STP,Hardin,Upper Green,05110001,2nd Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",MIDDLESBORO STP,21000083001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0072885,Individual Permit,MIDDLESBORO STP,Bell,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",MURRAY STP,21000085001,Disinfection,Y,N,Abandonment,N,,,09/26/2012,KY0072761,Individual Permit,MURRAY - BEE CREEK STP,Calloway,Lower Tennessee,06040006,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",BARBOURVILLE WWTP,21000094001,Disinfection,Y,N,Abandonment,N,,,09/18/2012,KY0024082,Individual Permit,BARBOURVILLE UTILITY COMMISSION,Knox,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",BRODHEAD STP,21000095001,Disinfection,Y,Y,Process Improvement,N,,,09/19/2012,KY0047431,Individual Permit,BRODHEAD STP,Rockcastle,Lower Kentucky,05100205,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",WILMORE WWTP,21000101001,Disinfection,Y,N,Abandonment,N,,,09/05/2012,KY0028428,Individual Permit,WILMORE STP,Jessamine,Lower Kentucky,05100205,2nd Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",ALBANY WWTP,21000115001,Disinfection,Y,Y,No Change,N,,,08/29/2012,KY0024295,Individual Permit,CITY OF ALBANY,Clinton,Obey,05130105,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",Paducah McCracken Co JSA - Paducah,21000118001,Disinfection,Y,Y,No Change,N,,,10/09/2012,KY0022799,Individual Permit,Paducah McCracken Co Joint Sewer Agency,McCracken,Lower Ohio,05140206,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",CAMPBELLSVILLE STP,21000186001,Disinfection,Y,Y,Process Improvement,N,,,09/21/2012,KY0054437,Individual Permit,CAMPBELLSVILLE MUNICIPAL WATER & SEWER,Taylor,Salt,05140102,1st Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",CORBIN STP,21000202001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0020133,Individual Permit,CORBIN CITY UTILITIES COMMISSION,Laurel,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",LANCASTER STP,21000269001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0020974,Individual Permit,CITY OF LANCASTER,Garrard,Lower Kentucky,05100205,2nd Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",HYDEN - Wooten,21000256002,Disinfection,Y,Y,No Change,N,,,10/01/2012,KY0021245,Individual Permit,HYDEN STP,Leslie,North Fork Kentucky,05100201,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",HYDEN WWTP,21000256001,Disinfection,Y,Y,No Change,N,,,09/21/2012,KY0021245,Individual Permit,HYDEN STP,Leslie,North Fork Kentucky,05100201,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",DOVER-FOXCROFT POLLUTION ABATEMENT FACILITY,23000032001,Disinfection,Y,Y,No Change,N,,,10/23/2012,ME0100501,Individual Permit,TOWN OF DOVER-FOXCROFT,Piscataquis,Piscataquis,01020004,2nd Congressional District,ME,1,MAP
"Dechlorination, Sulphur Dioxide ",WINCHESTER STRODES CK WWTP,21000063002,Disinfection,Y,Y,No Change,N,,,10/04/2012,KY0037991,Individual Permit,WINCHESTER MUNICIPAL UTILITIES,Clark,South Fork Licking,05100102,6th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",JAMESTOWN WWTP,38000004001,Disinfection,Y,Y,No Change,N,,,04/18/2012,ND0023370,Individual Permit,"JAMESTOWN, CITY OF",Stutsman,Upper James,10160003,0th Congressional District,ND,8,MAP
"Dechlorination, Sulphur Dioxide ",SCIENCE HILL STP&CS,21000220003,Disinfection,Y,Y,No Change,N,,,08/29/2012,KY0094447,Individual Permit,SCIENCE HILL CITY OF,Pulaski,Upper Cumberland-Lake Cumberland,05130103,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",EVARTS STP,21000221001,Disinfection,Y,Y,Increase Capacity,N,,,09/21/2012,KY0073091,Individual Permit,CITY OF EVARTS,Harlan,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",Greenup Co Environ Comm,21000225001,Disinfection,Y,Y,No Change,N,,,09/18/2012,KY0048348,Individual Permit,GREENUP CO ENVIRONMENTAL COMM,Greenup,Little Scioto-Tygarts,05090103,4th Congressional District,KY,4,MAP
"Dechlorination, Sulphur Dioxide ",GRANGEVILLE S/T FACILITY,16000072001,Disinfection,Y,Y,No Change,N,,,08/14/2012,ID0020036,Individual Permit,"GRANGEVILLE, CITYOF",Idaho,South Fork Clearwater,17060305,1st Congressional District,ID,10,MAP
"Dechlorination, Sulphur Dioxide ",BISMARCK WWTP,38000001001,Disinfection,Y,Y,No Change,N,,,04/18/2012,ND0023434,Individual Permit,"BISMARCK, CITY OF",Burleigh,Painted Woods-Square Butte,10130101,0th Congressional District,ND,8,MAP
Dewatering assc. w/Grit Removal,ODESSA NW WWTP,29001036003,Preliminary,N,Y,New,N,2014,,05/04/2012,MO0026379,Individual Permit,"ODESSA, CITY OF",Lafayette,Lower Missouri-Crooked,10300101,4th Congressional District,MO,7,MAP
Dewatering assc. w/Grit Removal,CORBIN STP,21000202001,Preliminary,N,Y,New,N,,,09/21/2012,KY0020133,Individual Permit,CORBIN CITY UTILITIES COMMISSION,Laurel,Upper Cumberland,05130101,5th Congressional District,KY,4,MAP
Disinfection Hypochlorite Bisulfite,LYNDON STP,50000038001,Disinfection,Y,Y,No Change,N,,,09/19/2012,VT0100595,Individual Permit,"LYNDON      ,TOWNOF",Caledonia,Passumpsic,01080102,0th Congressional District,VT,1,MAP
Disinfection Hypochlorite Bisulfite,SOUTH WOODSTOCK WWTF,50000090002,Disinfection,Y,Y,No Change,N,,,09/07/2012,VT0100749,Individual Permit,"WOODSTOCK, TOWN OF",Windsor,Black-Ottauquechee,01080106,0th Congressional District,VT,1,MAP
Disinfection Hypochlorite Bisulfite,SHELBURNE FD#1 WPCF,50000067001,Disinfection,Y,Y,No Change,N,,,09/06/2012,VT0100331,Individual Permit,Town of SHELBURNE,Chittenden,Winooski,02010003,0th Congressional District,VT,1,MAP
"Disinfection, Breakpoint Chlorination",INTRENCHMENT CREEK WWTP,13000012002,Disinfection,Y,Y,No Change,N,,,03/20/2009,,,ATLANTA PUBLIC WORKS DEPT,DeKalb,Upper Ocmulgee,03070103,5th Congressional District,GA,4,MAP
"Disinfection, Breakpoint Chlorination",BARRE CITY WPCF,50000004001,Disinfection,Y,Y,No Change,N,,,11/03/2008,VT0100889,Individual Permit,CITY OF BARRE W W T F,Washington,Winooski,02010003,0th Congressional District,VT,1,MAP
"Disinfection, Breakpoint Chlorination",COOKEVILLE STP,47000295001,Disinfection,Y,Y,No Change,N,,,09/01/2004,TN0024198,Individual Permit,"COOKEVILLE, CITY OF",Putnam,Caney,05130108,6th Congressional District,TN,4,MAP
"Disinfection, Breakpoint Chlorination",COLUMBUS WWTP,18002030001,Disinfection,Y,Y,No Change,N,,,11/05/2008,IN0032573,Individual Permit,"COLUMBUS, CITY OF",Bartholomew,Upper East Fork White,05120206,6th Congressional District,IN,5,MAP
"Disinfection, Breakpoint Chlorination",NEW ALBANY WWTP,18001052001,Disinfection,Y,Y,No Change,N,,,12/08/2008,IN0023884,Individual Permit,NEW ALBANY MUNICIPAL WWTP,Floyd,Silver-Little Kentucky,05140101,9th Congressional District,IN,5,MAP
"Disinfection, Breakpoint Chlorination",Medford Township - CS/Septics/STP,34007290001,Disinfection,N,Y,New,N,,,01/21/2005,NJ0026832,Individual Permit,Medford Township,Burlington,Lower Delaware,02040202,3rd Congressional District,NJ,2,MAP
"Disinfection, Chlorination",ARCO S/T FACILITY,16000157001,Disinfection,Y,Y,No Change,N,,,12/16/2004,,,City of Arco,Butte,Big Lost,17040218,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",DUBOIS S/T FACILITY,16000161001,Disinfection,Y,Y,No Change,N,,,09/19/2001,,,"DUBOIS, CITY OF",Clark,Beaver-Camas,17040214,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",MACKAY SEWAGE LAGOON,16000163001,Disinfection,Y,Y,No Change,N,,,09/13/2001,ID0023027,Individual Permit,"MACKAY, CITY OF",Custer,Big Lost,17040218,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",STANLEY SEWER ASSOC. INC,16000164001,Disinfection,Y,Y,No Change,N,,,12/15/2008,,,STANLEY SEWER ASSOCIATION INC,Custer,Upper Salmon,17060201,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",RIGBY STP,16000171001,Disinfection,Y,Y,No Change,N,,,01/22/2009,ID0020010,Individual Permit,"RIGBY, CITY OF",Jefferson,Idaho Falls,17040201,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",ROBERTS S/T FACILITY,16000172001,Disinfection,Y,N,Abandonment,N,,,07/27/2012,ID0026913,Individual Permit,"ROBERTS, CITY OF",Jefferson,Idaho Falls,17040201,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",MALAD CITY STP,16000177001,Disinfection,Y,Y,No Change,N,,,09/14/2001,,,"MALAD CITY, CITY OF",Oneida,Lower Bear-Malad,16010204,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",BOTTLE BAY S/T FACILITY,16000180001,Disinfection,Y,Y,No Change,N,,,09/05/2001,,,BOTTLE BAY WATER & SEWER DISTRICT,Bonner,Pend Oreille Lake,17010214,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",HAYDEN AREA REGIONAL S/T FACILITY,16000185001,Disinfection,Y,Y,No Change,N,,,09/28/2001,ID0026590,Individual Permit,HAYDEN AREA REGIONAL SEWER BOARD,Kootenai,Upper Spokane,17010305,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",ELK CITY SEWAGE TREATMENT SYSTEM,16000191001,Disinfection,Y,Y,No Change,N,,,08/31/2001,ID0022012,Individual Permit,ELK CITY WATER & SEWER ASSOC,Idaho,South Fork Clearwater,17060305,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",BRUNEAU S/T FACILITY,16000198001,Disinfection,Y,Y,No Change,N,,,11/23/2004,,,Bruneau Water & Sewer District,Owyhee,Bruneau,17050102,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",CLARKIA SEWAGE TREATMENT SYSTEM,16000201001,Disinfection,Y,Y,No Change,N,,,08/23/2001,ID0025071,Individual Permit,CLARKIA WATER AND SEWER DISTRICT,Shoshone,St. Joe,17010304,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",TWIN LAKES VILLAGE S/T FACILITY,16000202001,Disinfection,Y,Y,No Change,N,,,03/02/2009,,,"TLI SEWER, LLC",Kootenai,Upper Spokane,17010305,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",ELLISPORT BAY S/T FACILITY,16000204001,Disinfection,Y,Y,No Change,N,,,09/28/2001,,,ELLISPORT BAY SEWER BOARD,Bonner,Pend Oreille Lake,17010214,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",KIDD ISLAND BAY STP,16000208001,Disinfection,Y,Y,No Change,N,,,09/27/2001,,,KIDD ISLAND BAY LOTS SEWER DISTRICT,Kootenai,Hangman,17010306,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",GRANITE CREEK-REEDER BAY STP,16000209001,Disinfection,Y,Y,No Change,N,,,03/14/2009,,,GRANITE-REEDER WATER & SEWER DISTRICT,Bonner,Priest,17010215,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",HAZELTON STP,16000244001,Disinfection,Y,Y,No Change,N,,,04/18/2012,,,"HAZELTON, CITY OF",Jerome,Upper Snake-Rock,17040212,2nd Congressional District,ID,10,MAP
"Disinfection, Chlorination",NORTH TOMER BUTTE LAGOON,16000258201,Disinfection,Y,Y,No Change,N,,,01/27/2005,,,North Tomer Butte Water and Sewer District,Latah,Clearwater,17060306,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",Housing Authority-City of Caldwell,16002001001,Disinfection,Y,N,Abandonment,N,,,10/01/2012,ID0025453,Individual Permit,CALDWELL HOUSING AUTHORITY,Canyon,Lower Boise,17050114,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",Meridian Heights Water & Sewer Asso,16002001003,Disinfection,Y,Y,No Change,N,,,08/28/2001,,,Meridian Heights Water & Sewer Assoc,Ada,Lower Boise,17050114,1st Congressional District,ID,10,MAP
"Disinfection, Chlorination",TRI CITY WPCP,41000001002,Disinfection,Y,Y,No Change,N,,,02/26/2009,OR0031259,Individual Permit,WATER ENVIRONMENT SERVICES,Clackamas,Middle Willamette,17090007,5th Congressional District,OR,10,MAP
"Disinfection, Chlorination",DURHAM STP,41000022005,Disinfection,Y,Y,No Change,N,,,04/08/2009,OR0028118,Individual Permit,"CLEAN WATER SERVICES, INC",Washington,Tualatin,17090010,1st Congressional District,OR,10,MAP
"Disinfection, Chlorination",ROCK CREEK STP,41000022013,Disinfection,Y,Y,No Change,N,,,03/11/2009,OR0029777,Individual Permit,"CLEAN WATER SERVICES, INC",Washington,Tualatin,17090010,1st Congressional District,OR,10,MAP
"Disinfection, Chlorination",GERVAIS STP,41000025001,Disinfection,N,Y,New,N,,,09/19/2001,OR0027391,Individual Permit,"GERVAIS, CITY OF",Marion,Molalla-Pudding,17090009,5th Congressional District,OR,10,MAP
"Disinfection, Chlorination",SALEM WILLOW LAKE STP,41000031001,Disinfection,Y,Y,No Change,N,,,03/26/2009,OR0026409,Individual Permit,"Salem, City of",Marion,Middle Willamette,17090007,5th Congressional District,OR,10,MAP
"Disinfection, Chlorination",MEDFORD STP,41000059001,Disinfection,Y,Y,Increase Capacity,N,,,02/18/2009,OR0026263,Individual Permit,"MEDFORD      ,CITYOF",Jackson,Middle Rogue,17100308,2nd Congressional District,OR,10,MAP
"Disinfection, Chlorination",SHADY COVE STP,41000254001,Disinfection,N,Y,New,N,,,09/19/2001,OR0030660,Individual Permit,"SHADY COVE, CITY OF",Jackson,Upper Rogue,17100307,2nd Congressional District,OR,10,MAP
"Disinfection, Chlorination",Bremerton West Plant STP,53000115002,Disinfection,Y,Y,No Change,N,,,12/01/2008,WA0029289,Individual Permit,City of Bremerton,Kitsap,Puget Sound,17110019,6th Congressional District,WA,10,MAP
"Disinfection, Chlorination",EDMONDS STP,53000365001,Disinfection,Y,Y,No Change,N,,,11/04/2008,WA0024058,Individual Permit,EDMONDS PUBLIC WORKS DEPT,Snohomish,Puget Sound,17110019,7th Congressional District,WA,10,MAP
"Disinfection, Chlorination",TACOMA CENTRAL STP #1,53001280001,Disinfection,N,Y,New,N,,,05/26/2004,WA0037087,Individual Permit,"TACOMA, CITY OF",Pierce,Puyallup,17110014,9th Congressional District,WA,10,MAP
"Disinfection, Chlorination",BREWSTER STP,53001580001,Disinfection,Y,Y,Replacement,N,,,07/02/2004,WA0021008,Individual Permit,BREWSTER CITY,Okanogan,Chief Joseph,17020005,4th Congressional District,WA,10,MAP
"Disinfection, Chlorination",IEUA Regional Plant No.1,06008010001,Disinfection,Y,Y,No Change,N,,,11/24/2008,CA8000409,Individual Permit,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
"Disinfection, Chlorination",IEUA Regional Plant No.5,06008010005,Disinfection,Y,Y,No Change,N,,,11/24/2008,CA8000409,Individual Permit,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
"Disinfection, Chlorination",OCSD WRP No. 1,06008022001,Disinfection,Y,Y,Rehabilitation,N,,,12/15/2008,CA0110604,Individual Permit,Orange County Sanitation District,Orange,Santa Ana,18070203,48th Congressional District,CA,9,MAP
"Disinfection, Chlorination",OCSD WWTP No. 2,06008022002,Disinfection,Y,Y,Rehabilitation,N,,,12/15/2008,CA0110604,Individual Permit,Orange County Sanitation District,Orange,Seal Beach,18070201,48th Congressional District,CA,9,MAP
"Disinfection, Chlorination",Temecula Valley Regional WRF,06008085001,Disinfection,Y,Y,No Change,N,,,03/27/2009,CA8000188,Individual Permit,EASTERN MWD,Riverside,Santa Margarita,18070302,42nd Congressional District,CA,9,MAP
"Disinfection, Chlorination",North City WRP,06009031002,Disinfection,Y,Y,No Change,N,,,01/13/2009,,,City of San Diego Metropolitan Wastewater Depart.,San Diego,San Diego,18070304,52nd Congressional District,CA,9,MAP
"Disinfection, Chlorination",LAS VEGAS AWT,32000011001,Disinfection,Y,Y,No Change,N,,,03/17/2009,NV0020133,Individual Permit,"LAS VEGAS, CITY OF",Clark,Las Vegas Wash,15010015,1st Congressional District,NV,9,MAP
"Disinfection, Chlorination",SOUTH TRUCKEE MEADOWS WWTP,32000022002,Disinfection,Y,Y,No Change,N,,,09/29/2004,,,WASHOE COUNTY DEPT. OF WATER RESOURCES,Washoe,Truckee,16050102,2nd Congressional District,NV,9,MAP
"Disinfection, Chlorination",RENO-SPARKS WWTF,32000023001,Disinfection,Y,Y,No Change,N,,,03/20/2009,NV0020150,Individual Permit,CITY OF SPARKS PUBLIC WORKS DEPT.,Washoe,Truckee,16050102,2nd Congressional District,NV,9,MAP
"Disinfection, Chlorination",HENDERSON AWT,32000038003,Disinfection,Y,Y,No Change,N,,,12/22/2008,NV0022098,Individual Permit,"HENDERSON, CITY OF",Clark,Las Vegas Wash,15010015,3rd Congressional District,NV,9,MAP
"Disinfection, Chlorination",NORTH LAS VEGAS WWTF,32000200409,Disinfection,Y,Y,Expansion,N,,,03/18/2009,NV0023647,Individual Permit,NORTH LAS VEGAS UTILITIES DEPT.,Clark,Las Vegas Wash,15010015,4th Congressional District,NV,9,MAP
