Unit Process,Facility/Project Name,CWNS Number,Treatment Type,Present,Projected,Change Type,Back Up,Planned Year,Additional Notes,Last Updated Date,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
"Activated Sludge, Anaerobic/Anoxic",Hamby WWTP,48002031001,Advanced,Y,Y,No Change,N,,,01/15/2009,TX0023973,Individual Permit,ABILENE,Jones,Upper Clear Fork Brazos,12060102,19th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",GOVALLE STP,48003033001,Advanced,Y,N,Abandonment,N,,,01/08/2009,,,AUSTIN,Travis,Lower Colorado-Cummins,12090301,35th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",East Cleveland,48007057001,Advanced,Y,Y,No Change,N,,,10/16/2012,TX0053481,Individual Permit,CLEVELAND,Liberty,Lower Trinity-Kickapoo,12030202,36th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",West Cleveland,48007057002,Advanced,Y,Y,No Change,N,,,10/16/2012,TX0053473,Individual Permit,CLEVELAND,Liberty,Lower Trinity-Kickapoo,12030202,36th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Gleneagles WWTP,48007802001,Advanced,Y,Y,Expansion,N,,,11/28/2012,TX0022055,Individual Permit,MONTGOMERY CO MUD #15,Montgomery,West Fork San Jacinto,12040101,7th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",BRIDGEPORT WESTSIDE,09000150001,Advanced,Y,Y,No Change,N,,,02/19/2009,CT0100056,Individual Permit,CITY OF BRIDGEPORT WPCA,Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic",BRIDGEPORT EAST SIDE,09000150002,Advanced,Y,Y,No Change,N,,,02/19/2009,CT0101010,Individual Permit,"BRIDGEPORT, CITY OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic",EAST HARTFORD WPCF,09000641003,Advanced,Y,Y,No Change,N,,,02/04/2009,CT0100170,Individual Permit,METROPOLITAN DISTRICT,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic",NEW HAVEN EAST SHORE WPCF,09000930003,Advanced,Y,Y,Increase Level Of Treatment,N,,,02/24/2009,CT0100366,Individual Permit,"NEW HAVEN, CITY OF",New Haven,Long Island Sound,01100007,3rd Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic",NORWALK WPCF,09001030001,Advanced,Y,Y,Increase Level Of Treatment,N,,,02/23/2009,CT0101249,Individual Permit,NORWALK WPCF,Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
