FINAL_UNIT_PROCESS_NAME,ORIGINAL_UP_NAME
"Nitrification, Biological (Separate Stage)",Nutrient Management (AC) (590)
Ocean Disposal Of Biosolids,Ocean Disposal Of Biosolids
"Storage (Off-line, e.g. Retention Basins)",Off-Line Storage
Open Channel (FT) (582),Open Channel (FT) (582)
"Growth Process, Other Attached",Other Attached Growth Process
Biosolids Disposal (Other),Other Biosolids Disposal
Biosolids Other Treatment,Other Biosolids Treatment
Other Chemical Addition,Other Chemical Addition
"Disinfection, Other Chemical",Other Chemical Disinfection
Other Chemical Treatment,Other Chemical Treatment
Other Collection,Other Collection
Biosolids Other Dewatering,Other Dewatering
"Disinfection, Other",Other Disinfection
"Filter, Other",Other Filtration
Biosolids Incineration (Other),Other Incineration
Other Land Treatment System,Other Land Treatment System
Other Non-Centralized Sewer,Other Non-Centralized Sewer
Other Non-Centralized Treatment,Other Non-Centralized Treatment
Other Physical Treatment,Other Physical Treatment
Other Physical/Chemical,Other Physical/Chemical
Other Physical-Chemical Treatment,Other Physical-Chemical Treatment
Other Preliminary Or Primary Treatment,Other Preliminary Or Primary Treatment
Other Screening,Other Screening
Other Sewer System Rehabilitation,Other Sewer System Rehabilitation
Storage (Other),Other Storage
"Growth Process, Other Suspended",Other Suspended Growth Process
Outfall Diffuser,Outfall Diffuser
Outfall Pumping,Outfall Pumping
Overland Flow System,Overland Flow System
Reactor (Oxidation Ditch),Oxidation Ditch
"Disinfection, Ozonation",Ozonation
Package Plant (Other),Package Plant
Package Plant (Other),Package Plant (Other)
"Package Plant, Rotating Biological Contractor (RBC)","Package Plant, Rotating Biological Contactor (RBC)"
"Package Plant, Rotating Biological Contractor (RBC)","Package Plant, Rotating Biological Contractor (RBC)"
Pasture and Hay Planting (AC) (512),Pasture and Hay Planting (AC) (512)
Permanent Vegetative Cover,Permanent Vegetative Cover
Pest Management (AC) (595A),Pest Management (AC) (595A)
Pesticide Management Plans,Pesticide Management Plans
"Phosphorus Removal, Biological","Phosphorus Removal, Biological"
"Phosphorus Removal, Biological (Modified Bardenpho)","Phosphorus Removal, Biological (Modified Bardenpho)"
"Phosphorus Removal, Biological (Phostrip)","Phosphorus Removal, Biological (Phostrip)"
"Phosphorus Removal, Chemical","Phosphorus Removal, Chemical"
Pipeline (FT) (516),Pipeline (FT) (516)
"Lagoon, Polishing",Polishing Lagoon
Chemical Addition (Polymer),Polymer Addition
Biosolids Chemical Addition (Polymer),Polymer Addition To Biosolids
Pond (NO.) (378),Pond (NO.) (378)
Pond Sealing/Bentonite Sealant (521C),Pond Sealing/Bentonite Sealant (521C)
"Pond, Stabilization","Pond, Stabilization"
"Pond, Total Containment","Pond, Total Containment"
Post Aeration,Post Aeration
Preaeration,Preaeration
Precision Land Forming (AC) (462),Precision Land Forming (AC) (462)
Prescribed Burning (AC) (338),Prescribed Burning (AC) (338)
Prescribed Grazing (AC) (528A),Prescribed Grazing (AC) (528A)
"Filter, Pressure",Pressure Filter
Filter (Sand/Gravel-Pretreatment),Pretreating Sand/Gravel Filter
"Sedimentation, Primary",Primary Sedimentation
"Properly Store, Apply & Dispose Of Petrol. Product","Properly Store, Apply & Dispose Of Petrol. Product"
Pump Station,Pump Station
Pump Stations,Pump Stations
Pumping Plant for Water Control (NO.) (533),Pumping Plant for Water Control (NO.) (533)
"Pumping, Influent","Pumping, Influent"
"Pumping, Effluent","Pumping, Effluent"
Pyrolysis,Pyrolysis
Range Planting (AC) (550),Range Planting (AC) (550)
"Rapid Infiltration System, W/O Underdrain",Rapid Infiltration System - No Underdrain
"Rapid Infiltration System, With Underdrain",Rapid Infiltration System W/Underdrain
"Rapid Infiltration System, W/O Underdrain","Rapid Infiltration System, W/O Underdrain"
"Rapid Infiltration System, With Underdrain","Rapid Infiltration System, With Underdrain"
"Filter, Rapid Sand",Rapid Sand Filter
Reactor (Fixed Film),Reactor (Fixed Film)
"Reactor, Other","Reactor, Other"
Reactor (Oxidation Ditch),Reactor (Oxidation Ditch)
"Reactor, Sequencing Batch (SBR)","Reactor, Sequencing Batch (SBR)"
"Reactor, Vertical Loop","Reactor, Vertical Loop"
Recalcination,Recalcination
Recarbonation,Recarbonation
Recreation Area Improvement (AC) (562),Recreation Area Improvement (AC) (562)
Recreation Land Grading and Shaping (AC) (566),Recreation Land Grading and Shaping (AC) (566)
Recreation Trail and Walkway (FT) (568),Recreation Trail and Walkway (FT) (568)
Reduction,Reduction
Photovoltaic Systems (Renewable Energy),Renewable Energy Photovoltaic Systems
"Residue Management, Mulch Till (AC) (329B)","Residue Management, Mulch Till (AC) (329B)"
"Residue Management, No/Strip-Till (AC) (329A)","Residue Management, No/Strip-Till (AC) (329A)"
"Residue Management, Ridge Till (AC) (329C)","Residue Management, Ridge Till (AC) (329C)"
"Residue Management, Seasonal (AC) (344)","Residue Management, Seasonal (AC) (344)"
Restore Wetlands/Riparian Areas,Restore Wetlands/Riparian Areas
Retention Ponds,Retention Ponds
Revegetation Of Disturbed Areas,Revegetation Of Disturbed Areas
Membrane Process (Reverse Osmosis),Reverse Osmosis
Riparian Forest Buffer (AC) (391A),Riparian Forest Buffer (AC) (391A)
Riprap/Gabions,Riprap/Gabions
Road Construction/Reconstruction,Road Construction/Reconstruction
Road Management,Road Management
