CWNS_ID,FACILITY_NAME,raw_permit_list,NPDES_PERMIT
06002071001,Novato WWTF,['CA0037958'],CA0037958
06002074001,ST. HELENA WWTF,['CA0038016'],CA0038016
06002081001,Union Sanitary District (Alvarado WWTF),['CA0038733'],CA0038733
06002108001,Las Gallinas Valley Sanitary District Sewage Treatment Plant,['CA0037851'],CA0037851
06002109001,Livermore WRP,['CA0038008'],CA0038008
06002118001,Ellis Creek WRF,['CA0037810'],CA0037810
06002123001,S.F. International Airport WQCP,['CA0038318'],CA0038318
06002127001,YOUNTVILLE-VETERANS WWTF,['CA0038121'],CA0038121
06003003001,Lake Cachuma County Park WWTF,['NO. R3-2002-0012'],
06003005001,ATASCADERO WWTF,['CAL010561'],CAL010561
06003008001,SCOTTS VALLEY WWTF,['CA0048828'],CA0048828
06003014001,Morro Bay Cayucos WWTF,['CA0047881'],CA0047881
06003017001,Carmel Area Wastewater Treatment Plant,['CA0047996'],CA0047996
06003019001,CHUALAR TREATMENT PONDS,['CA0049981'],CA0049981
06003022001,GREENFIELD WWTF,['R3-2002-0062'],
06003027001,PASO ROBLES WWTP,['CA0047953'],CA0047953
06003028001,"Pismo Beach, City of (Collection & WWTF)","['2006-0003-DWQ', 'CA0048151']",CA0048151
06003030001,Cambria WQCP,"['ORDER NO. R3-2019-00', 'CAL010562']",CAL010562
06003035001,SAN MIGUEL STP,['CAC407893'],CAC407893
06003037001,El Estero Wastewater Treatment Facility,['CA0048143'],CA0048143
06003040001,SANTA MARIA WWTF,"['R3-2010-0001', '2006-0003-DWQ']",
06003044001,Watsonville WWTF,['CA0048216'],CA0048216
06003046001,Pfeiffer Big Sur WWTF,['NO.98-62'],
06003049001,Laguna CSD WWTF,['R3-2011-0217'],
06003054002,BEAR CREEK ESTATES WWTF,['R3-00-043'],
06003060001,South County Regional Wastewater Treatment and Reclamation Facility,['CA0049964'],CA0049964
06003063001,Hollister Domestic WWTP,['NO. R3-2008-0069'],
06003068001,CUYAMA WWTF,['CA0048089'],CA0048089
06003070001,GONZALES WWTF,['CAS000002'],
06003072001,GUADALUPE WWTF,['2006-0003-DWQ'],
06003081001,SO SAN LUIS OB CO WWTF,['CA0048003'],CA0048003
06003083001,TRES PINOS WWTF,['2014-0153-DWQ'],
06004003001,Simi Valley WWTP,['CA0055221'],CA0055221
06004006001,Ventura Water Reclamation Facility,['CA0053651'],CA0053651
06004007001,Hill Canyon WWTP,['CA0056294'],CA0056294
06004009001,LACSD (Joint Water Pollution Control Plant),['CA0053813'],CA0053813
06004009002,LACSD (Pomona WRP),['CA0053619'],CA0053619
06004009009,LACSD (Lancaster WRP),['R6V-2002-053'],
06004009010,LACSD (Palmdale WRP),['R6T-2011-0012'],
06004010002,Terminal Island WRP,['CA0053856'],CA0053856
06004010003,L.A.-Glendale WRP,['CA0053953'],CA0053953
06004010004,Tillman WRP,['CA0056227'],CA0056227
06004014001,Moorpark WWTF,['CA0063274'],CA0063274
06004020001,New Piru WWTF,['R4-2009-0027-A02'],
06004022002,NYELAND ACRES WWTF,['CA0104451'],CA0104451
06004026001,Tapia Water Reclamation Facility,['CA0056014'],CA0056014
06004029001,CAMARILLO Water Reclamation Plant,['CA0053597'],CA0053597
06004044001,Santa Paula WRF,"['R4-97-041', 'CA0054224']",
06005001001,OAKDALE WWTF,['R5-2012-0063'],
06005004001,WOODLAND WWTF,['CA0077950'],CA0077950
06005008001,HANFORD WWTF,['Order No. 91-164'],
06005010001,Bakersfield WWTP #2,['CAL000407'],CAL000407
06005010002,Bakersfield WWTP #3,['CAL000476'],CAL000476
06005012001,KERMAN WWTF,"['CAL010541', 'R5-2007-0115']",CAL010541
06005014001,COULTERVILLE WWTF,['N0.·5-00-193'],
06005022001,ORANGE COVE WWTF,['R5-2004-0008'],
06005024001,Live Oak WWTP,"['R5-04-097', 'CA0079022']",CA0079022
06005026001,LOS BANOS WWTF,['R5-2021-0026'],
06005032001,Woodlake WWTF,['CAL010550'],CAL010550
06005033001,Williams WWTF,['CA0077933'],CA0077933
06005039001,LINDSAY WWTF,['2006-0003-DWQ'],
06005042003,Delano WWTF,['R5-2017-0052'],
06005043001,Chowchilla WWTP,"['WDR 90-271', '2006-0003-DWQ']",
06005045001,DONNER SUMMIT WWTF,['CA0081621'],CA0081621
06005046001,DOS PALOS STP,['ORDER NO. 92-094'],
06005051001,FRANKLIN WWTF,['89-171'],
06005053001,Fresno-Clovis Regional WRF,['R5-2018-0080'],
06005055001,GRAYSON WWTF,"['93-088', '2006-0003-DWQ']",
06005056001,HURON WWTF,['R5-2014-0163'],
06005057001,ISLETON WWTF,"['NO. R5-2012-0006', 'NO. 90-186']",
06005058001,IVANHOE WWTF,['NO. 98-090'],
06005060004,LAKE CO NW REG WWTP,['WDR Order No. 97-249'],
06005062001,Lodi WPCF,['CA0079243'],CA0079243
06005063001,Maxwell WWTP,"['R5-2009-0109', 'CA0079987']",
06005064001,Merced WWTP,"['2006-0003-DWQ', 'CA0079219']",CA0079219
06005065001,"Modesto, City of (Sutter WWTF)",['CA0079103'],CA0079103
06005066001,Planada WWTF,"['CA0078950', '2006-0003-DWQ']",CA0078950
06005068001,RIVERBANK WWTF,['94-100'],
06005071001,Selma-Kingsburg-Fowler CSD WWTF,['5-01-255'],
06005078001,Visalia WWTP,"['CA0079189', 'R5-2018-0046']",CA0079189
06005079001,WASCO WWTF,['R5-2002-0198'],
06005080001,WATERFORD WWTP,"['NO. 94-273', 'CAL010535']",CAL010535
06005082002,Vallecito/Douglas Flat WWTF,['ORDER R5-2013-0009'],
06005094001,PLYMOUTH WWTF,['R5-2011-0092'],
06005099001,JACKSON WWTF,['CA0079391'],CA0079391
06005106001,Atwater Regional Wastewater Treatment Facility,"['R5-2017-0085-001', 'CA0079197']",
06005108001,Hughson WWTF,"['CAL010521', 'R5-2012-000']",CAL010521
06005109001,SONORA WWTP,['WDR R5-2002-0202'],
06005112001,IONE WWTF,['Order 95-125'],
06005113001,DEL REY WWTF,['2000-0003-DWQ'],
06005123001,KETTLEMAN CITY STP,['NO. 79-143'],
06005125001,Marysville WWTF,['NO.5-01-071'],
06005126001,PATTERSON WWTF,['R5-2007-0147'],
06005142001,ARVIN WWTF,['Order No. 5-00-093'],
06005143001,DELHI STP,['ORDER R5-2015-0053'],
06005145001,LAKEPORT SOUTH WWTF,['R5-2012-0025'],
06005158001,ESCALON WWTF,['ORDER NO: R5-2014-01'],
06005159001,GROVELAND WWTF,['2006-0003-DWQ'],
06005160001,JAMESTOWN WWTF,"['CAL010540', 'R5-2021-0046']",CAL010540
06005161001,MARIPOSA WWTF,['CA0079430'],CA0079430
