WDID,Facility_Name,NPDES_No,CWNS_ID,CWNS_Facility_Name
5A520100001,City of Corning WWTP,CA0004995,06005245002,Corning WWTP
5A520101001,Red Bluff WW Reclamation Plant,CA0078891,06005368001,RED BLUFF WWTF
5A520102001,Mineral WWTP,CA0084069,06000000302,Mineral Wastewater Treatment Plant
5A570100001,City of Davis WWTP,CA0079049,06005205001,"Davis, City of WWTP"
5A570800001,UC Davis Main WWTP,CA0077895,,
5A580100002,Linda Cnty Water District WWTP,CA0079651,06005257001,LINDA WWTF
5A580102001,Olivehurst WWTP,CA0077836,06005031001,OLIVEHURST WWTF
5A581007001,Hammonton Gold Village WWTP,CA0081574,,
5B02NP00001,Bear Valley WWTF,CA0085146,06005114001,BEAR VALLEY WWTF
5B050103001,San Andreas SD WWTP,CA0079464,06005162001,San Andreas Sanitary District WWTP
5B05NP00007,Angels City WWTP,CA0085201,06005187001,ANGELS CAMP WWTF
5B05NP00014,Forest Meadows WWRP,CA0085278,06005082021,Forest Meadows STP
5B070101001,Brentwood WWTP,CA0082660,06005061001,Brentwood WWTP
5B070105003,Discovery Bay WWTP,CA0078590,06000000099,Town of Discovery Bay (Plant 1)
5B070105003,Discovery Bay WWTP,CA0078590,06000000098,Town of Discovery Bay (Plant 2)
5B07NP00013,Ironhouse WWTF,CA0085260,06002090001,Ironhouse WRF
5B090102001,Deer Creek WWTP,CAC433255,06005249001,Deer Creek WWTP
5B340101001,Galt WWTP & Reclamation Facility,CAC443249,06005054001,GALT WWTF
5B390104001,City of Manteca WW Quality Control Facility,CA0081558,06005146001,Manteca WQCF
5B390107001,Wastewater Recovery Center,CA0079138,06005025001,Stockton Regional WWCF
5B390108001,Tracy WWTP,CA0079154,06005105001,Tracy WWTP
5B391078003,Mountain House WWTP,CA0084271,,
5B39NP00085,City of Lathrop Consolidated Treatment Facility,CA0085359,06005019002,Lathrop Consolidated Treatment Facility
5B50NP00031,North Valley Regional Recycled Water Program - Modesto WWTP & Turlock RWQCF,CA0085316,06000000065,"Modesto, City of (Jennings WWTF)"
5C10NP00012,Clovis WWTF,CA0085235,35200900502,"Clovis, City of WWTP"
5C220701002,El Portal WWTF,CA0081759,,
5C500102001,City of Modesto WQCF,CAC448536,06005065001,"Modesto, City of (Sutter WWTF)"
5C500108001,"Turlock City, Turlock Regional Water Quality Control Facility",CA0078948,06005077001,TURLOCK WWTF
