"Country Life MHRVP Asset Partners, L.P.",CA0104264,R7-2023-0041.pdf
Covelo CSD,CA0023574,23_0006_covelo_csd_06.20.2023_eosigned.pdf
Crescent City,CA0022756,23_0039_CC_Revised_MRP.pdf
Crockett Community Services District,CA0037885,R2-2024-0009 Port Costa NPDES Order.pdf
Cutler-Orosi JT Powers WW Authority,CA0081485,r5-2025-0013_ndpes.pdf
USDI National Park Service Yosemite National Park,CAG995002,Revised Cuyama CSD MRP R3-2017-0047 1-18-2018.pdf
DR Horton Los Angeles Holding Company,CA0064505,8672_R4-2003-0141_FS.pdf
DR Horton Los Angeles Holding Company,CA0064505,8672_R4-2003-0141_MRP.pdf
DR Horton Los Angeles Holding Company,CA0064505,8672_R4-2003-0141_WDR.pdf
DR Horton Los Angeles Holding Company,CA0064505,8672_R4-2008-0018_RSC.pdf
Date Gardens Asset Partners LP,CA0104841,Order R7-2023-0046- Date Gardens MHPWWTP_NPDES.pdf
Davis City,CA0079049,r5-2025-0026_npdes.pdf
Sacramento Regional County Sanitation District (Regional San),nan,2016-0068-ddw-r5022.pdf
Dos Cuadras Offshore Res. LLC,CA0105996,R8-2018-0076_Dos_Cuadaras_Platform_Eva.pdf
Dublin San Ramon Services District (WWTP NPDES & SSO),CA0037613,DSRSD - R2-2022-2024.pdf
Dunsmuir City,CA0078441,r5-2024-0009_npdes.pdf
East Bay Dischargers Authority,CA0037869,EBDA - R2-2022-0023.pdf
East Bay MUD (WPCP),CA0038440,R2-2025-0006.pdf
East Bay MUD (WPCP),CA0037702,R2-2020-0024.pdf
"East Bay Regional Park District, Union SD & EBDA",CA0038636,R2-2011-0058.pdf
East Brother Light Station Inc,nan,Final Order Package 2010-0113.pdf
Eastern Municipal Water District,CA8000188,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf
El Centro City,CA0104426,R7-2024-0041.pdf
Emeryville City,CA0038792,R2-2025-0010.pdf
Encina Wastewater Authority,CA0107395,EOO_FinalOrderTransmittalLtr.pdf
Encina Wastewater Authority,CA0107395,EOO_FinalOrderTransmittalLtr.pdf
Eureka City,CA0024449,23_0016_Eureka_WWTP_NPDES_09.21.23.pdf
Fairfield Suisun Sewer District,CA0038024,FSSD R2-2020-0012.pdf
Fallbrook Public Utility District,CA0108031,AmendedOrderR9-2019-0169_DigitalSignature signed dwg 12-14-21.pdf
Fallbrook Public Utility District,CA0108031,AmendingOrderR920210204_DigitalSignature signed dwg 12-17-21.pdf
Fallbrook Public Utility District,CA0108031,Fallbrook_Final_Adopted_Order_R9-2019-0169.pdf
Fallbrook Public Utility District,CA0108031,R9-2019-0169_Amended2020 signed dwg 08-17-20.pdf
Fallbrook Public Utility District,CA0108031,R9-2020-0193_Final_Order signed dwg 08-17-20.pdf
Ferndale City,CA0022721,18_0046_Ferndale_NPDES.pdf
Forestville Water District,CA0023043,2024_0004_forestville_npdes_signed.pdf
Stallion Springs CSD,CAC439983,r5-2017-0085-016.pdf
Stallion Springs CSD,CAC439983,r5-2017-0085-019.pdf
Graton CSD,CA0023639,18_0001_Graton_NPDES.pdf
Grizzly Lake CSD,CA0081744,R5-2019-0052.pdf
Healdsburg City,CA0025135,22_0017_Healdsburg_WWTF_NPDES.pdf
Heber PUD,CA0104370,R7-2022-0007.pdf
Heritage Ranch CSD,CA0048941,R3-2017-0026 Final.pdf
Holtville City,CA0104361,R7-2022-0005.pdf
Humboldt County Resort Improvement District #1,CA0023027,22_0002shltrCvNPDES.pdf
Imperial CCD,nan,R7-2025-0019.pdf
Imperial City,CA0104400,R7-2021-0002.pdf
Inland Empire Utilities Agency,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
Inland Empire Utilities Agency,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
Inland Empire Utilities Agency,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
Inland Empire Utilities Agency,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
Inland Empire Utilities Agency,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
Ironhouse Sanitary District,CA0085260,R5-2024-0038.pdf
Irvine Ranch Water District,CA8000326,R8-2018-0070_IRWD__Amending_R8-2015-0024.pdf
Joint Outfall System,CA0053911,5542_R4-2021-0131_WDR_PKG.pdf
Joint Outfall System,CA0053619,0755_R4-2021-0097_PO_TypographicCorrectionLtr_07182021.pdf
Joint Outfall System,CA0053619,0755_R4-2021-0097_WDR_PKG.pdf
Joint Outfall System,CA0053619,PO_AdoptedTransLtr_signed.pdf
Joint Outfall System,CA0054011,5059_R4-2021-0142_WDR_PKG (signed).pdf
Joint Outfall System,CA0054119,5662_R4-2022-0032_WDR_PKG.pdf
Joint Outfall System,CA0053716,2848_R4-2021-0096_WDR_PKG.pdf
Joint Outfall System,CA0053716,WN NPDES MRP Modify 09072022.pdf
Lathrop City,CA0085359,r5-2022-0004-01_npdes.pdf
Lathrop City,CA0085359,r5-2022-0004_npdes.pdf
Lathrop City,CA0085359,r5-2023-0032_npdes_ao.pdf
Lincoln-SMD1 Wastewater Authority,CA0084476,r5-2024-0024_npdes.pdf
Linda Cnty Water District,CA0079651,r5-2022-0070_npdes.pdf
"Liquid Stone Holdings, LLC",CA0109258,Adopted Order R9-2018-0063.pdf
"Liquid Stone Holdings, LLC",CA0109258,Stone_TO_TransmittalLtr.pdf
Stallion Springs CSD,CAC439983,R5-2017-0085-018.pdf
Livermore-Amador Valley Water Management Agency,CA0038679,LAVWMA - R2-2021-0007.pdf
Lodi City,nan,r5-2025_0046_wdr.pdf
Lodi City,nan,r5_2025-0046_mrp.pdf
Loleta CSD,CA0023671,20_0002_Loleta_CSD_WDR and Recycling NPDES.pdf
Lompoc City,CA0048127,lompoc_finalorder.pdf
Los Angeles City Bureau of Sanitation,CA0053856,TIWRP_TSO_Amendment_TransLtr_08122025_Signed sw.pdf
Los Angeles City Bureau of Sanitation,CA0053856,TSO NPDES TIWRP _08112025_Final after comments 08112025_for signature.pdf
Los Angeles Cnty DPW,CA0059099,6599_R4-2021-0062_COV.pdf
Los Angeles Cnty DPW,CA0059099,6599_R4-2021-0062_WDR.pdf
Los Angeles Cnty DPW Sewer Maintenance Div,nan,5689_00-167_MRP.pdf
Los Angeles Cnty DPW Sewer Maintenance Div,nan,5689_00-167_WDR.pdf
Los Angeles Cnty Dept of Beaches & Harbors,CA0064670,10512_R4-2020-0053_COV.pdf
Los Angeles Cnty Dept of Beaches & Harbors,CA0064670,10512_R4-2020-0053_WDR_PKG.pdf
Los Angeles Cnty Sanitation Districts,nan,6186_87-048_WRR.pdf
Los Angeles Cnty Sanitation Districts,nan,6186_97-072_WRR.pdf
Madera County Public Works Department - Special Districts,nan,Oakhurst Order 97-015.pdf
Manteca City,CA0081558,r5-2021-0003_npdes.pdf
Marin Cnty Sanitary District 5,CA0037753,R2-2023-0018.pdf
Marin Cnty Sanitary District 5,CA0037427,Paradise Cove - R2-2021-0017.pdf
Stallion Springs CSD,CAC439983,r5-2017-0085-017.pdf
Maxwell PUD,nan,R5-2009-0109.pdf
McCabe USD,CA0104281,0010mcabe.pdf
McKinleyville Community Service District,CA0024490,2024_0023_mckinleyville_sc_npdes_signed.pdf
Mendocino City CSD,CA0022870,22_01mendo_npdes.pdf
Mendocino County WWD #2 Anchor Bay,CA0024040,21_0005_AnchorBay_WWTF_NPDES.pdf
Modesto City,CA0085316,r5-2022-0034.pdf
Stallion Springs CSD,CAC439983,mgo_amend_strike.pdf
Montecito Sanitary District,CA0047899,20220829_Order R3-2022-0010_Final (ACC).pdf
Monterey One Water,CA0048551,r3-2024-0045.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,8584_R4-2007-0022_COV.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,8584_R4-2007-0022_FS.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,8584_R4-2007-0022_MRP.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,8584_R4-2013-0043_WDR_PKG.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,8584_R4-2018-0087_WDR_PKG.pdf
Mountain House City,CA0084271,r5-2023-0033-01_npdes.pdf
Mountain House City,CA0084271,r5-2023-0033_npdes.pdf
Mountain House City,CA0084271,r5-2023-0033_npdes_mod.pdf
Mountain House City,CA0084271,r5-2025-0050_ao.pdf
Mt Shasta City,CA0078051,Mt_Shasta_Notice_of_Adoption.pdf
Mt Shasta City,CA0078051,r5-2023-0016_npdes.pdf
Mt View Sanitary District,CA0037770,MVSD Final Order ADA.pdf
Napa Sanitation District,CA0037575,Order_R2-2022-0003.pdf
Stallion Springs CSD,CAC439983,r5-2017-0085-015.pdf
Nevada City,CA0079901,r5-2022-0039_npdes.pdf
Newhall Ranch SD,CA0064556,9322_R4-2024-0390_WDR_PKG.pdf.pdf
Niland County Sanitation District,CA0104451,R7-2025-0017.pdf
Oakland City,CA0038512,R2-2025-0011.pdf
Oceanside City,CA0107433,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.pdf
Oceanside City,CA0107433,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.pdf
Oceanside City,CA0107433,Oceanside_Final_Adopted_Order_R9-2019-0166 (1).pdf
Oceanside City,CA0107433,R9-2019-0166_Amended2020 signed dwg 08-17-20.pdf
Oceanside City,CA0107433,R9-2020-0190_Final_Order signed dwg 08-17-20.pdf
Oceanside City,CA0107433,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.pdf
Oceanside City,CA0107433,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.pdf
Oceanside City,CA0107433,Oceanside_Final_Adopted_Order_R9-2019-0166 (1).pdf
Oceanside City,CA0107433,R9-2019-0166_Amended2020 signed dwg 08-17-20.pdf
Oceanside City,CA0107433,R9-2020-0190_Final_Order signed dwg 08-17-20.pdf
Ojai Valley Sanitary District,CA0053961,Adopted_OV Trans Ltr 12212023 signed.pdf
Olivehurst PUD,CA0077836,r5-2021-0024_npdes.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,10634_R4-2018-0087_WDR_PKG.pdf
Orange CSD,CA0110604,R8-2021-0010_OCSD.pdf
Orange CSD,CA0110604,R8-2021-0010_OCSD.pdf
Orange County Water District,nan,R8-2022-0050_WDR_OCWD_GWRS.pdf
Oro Loma Sanitary District,CA0037559,Order R2-2024-0006.pdf
Padre Dam Municipal Water District,CA0107492,Finalorder_r9_2022_0003 signed dwg 02-11-22.pdf
Palo Alto City,CA0037834,CA0037834 Palo Alto Order R2-2025-0003.pdf
Paradise ID,CA0083488,R5-2025-0014_npdes.pdf
Petaluma City PWD,CA0037810,Order R2-2021-0008 (1).pdf
Piedmont City,CA0038504,R2-2025-0012.pdf
Pinole City,CA0037796,R2-2023-0008.pdf
Placer Cnty Dept of Facility Services,CA0079367,R5-2015-0036.pdf
Placer Cnty Dept of Facility Services,CA0079367,r5-2013-0076_npdes.pdf
Placer Cnty Dept of Facility Services,CA0079316,r5-2010-0092.pdf
Placer Cnty Dept of Facility Services,CA0079316,r5-2015-0033.pdf
Placer Cnty Dept of Facility Services,CA0079316,r5-2016-0080_rec.pdf
Stallion Springs CSD,CAC439983,r5-2017-0085-007.pdf
Planada CSD,nan,R5-2013-0021.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,6839_R4-2013-0043_WDR_PKG.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,6839_R4-2013-0043_WDR_PKG_rev.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,6839_R4-2013-0043_WDR_PKG_rev2.pdf
"Omega OU2, LLC, with de maximis, inc. as",CAG914001,6839_R4-2018-0087_WDR_PKG.pdf
Ragged Point Inn,CA0049417,Final Order 2020-0003 Ragged Pt.pdf
Red Bluff City,CA0078891,r5_2023-0048_npdes.pdf
Redway CSD,CA0022781,23_0004_Redway_CSD_NPDES_01.26.23_EOsigned.pdf
Rio Alto WD,nan,Rio Alto Amended MRP Cover.pdf
Rio Alto WD,nan,Rio Alto Amended MRP R5-2016-0033.pdf
Rio Alto WD,nan,WDR Order R5-2016-0033.pdf
Rio Dell City,CA0022748,Order No. 2023-0022 Combined.pdf
Rio Vista City,CA0079588,r5-2024-0054_npdes.pdf
Rio Vista City,CA0083771,r5-2021-0004.pdf
River Highlands CSD,CA0081574,r5-2022-0024_npdes.pdf
