Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,# Enforcement Actions within 5 years,# Violations within 5 years
ALDG Corporation,"899 North 13th Street, San Jose, CA 95112","ALDG Corporation - 899 No 13th Street, SJ","899 North 13th Street, San Jose, CA 95112",37.322222,Error,Other,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,,CAG912002,11/13/2006,01/12/2007,12/04/2007,01/12/2012,,Minor,,,0,0
AMC Long Beach Shipyard,,Long Beach Naval Shipyard,"South of Seaside Boulevard, Terminal Island, CA 90744",33.4517,-118.1344,Other,3731,Los Angeles,4,NPDESWW,Historical,NPDES Permit,00-07603,4B190703001,CA0003786,06/29/2000,06/29/2000,06/30/2000,06/29/2000,6.2,Major,A,3,0,0
AOCLSC INC. DBA AOCUSA,"8015 Paramount Boulevard, Pico Rivera, CA 90660",AOCLSC INC. DBA AOCUSA,"8015 Paramount Boulevard, Pico Rivera, CA 90660",33.971827,-118.11329,Manufacturing NEC,2992,Los Angeles,4,NPDNONMUNIPRCS,Active,NPDES Permit,R4-2017-0190,4B192127001,CA0059013,10/05/2017,12/01/2017,,11/30/2022,.258,Minor,B,3,0,3
API Emeryville Parkside LLC,"807 Broadway 210, Oakland, CA 94607",Archstone Emeryville Parkside,"1333 Powell Street, Emeryville, CA 94608",,,"Development Site, NEC",,Alameda,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2012-0012,2 019482001,CAG912002,02/08/2012,04/11/2012,08/13/2012,03/15/2017,,Minor,B,2,0,0
APW Zero Cases,,Zero Corp.- Zero West Division,"777 Front, Burbank, CA 91502",34.183878,-118.318041,Other,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4B196000531,CAG994001,,07/19/1994,07/23/2002,,0,,C,3,0,0
ARB Construction Company,"26000 Commerce Centre Drive, Lake Forest, CA 92630-8816",Capistrano Desalter-Hydro,"San Juan Capistrano, CA",,,Other,,Orange,9,NPDNONMUNIPRCS,Historical,Enrollee,R9-2002-0020,9 000001140,CAG679001,,08/29/2003,06/23/2005,10/31/2015,0,,C,3,0,0
ARB Inc,"14521 South Broadway, Blythe, CA 92225",Blythe Energy LLC,"P.O. Box 1210, Blythe, CA 92225",,,Other,4612(+),Riverside,7,NPDNONMUNIPRCS,Historical,Enrollee,98-300,7B335555015,CAG677001,,05/14/1998,07/22/2002,,0,,C,3,0,0
ARB Inc,"26000 Commerce Centre Drive, Lake Forest, CA 92630",Port of Long Beach Pier D and T Waterline Relocation,"1200 West Pier D, Long Beach, CA 90802",33.770089,-118.213144,Other,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2004-0109,4B198000021,CAG674001,,03/14/2007,03/13/2008,07/01/2009,.180,Minor,,,0,0
ARCO E&F Arco Station,"818 South Shenandoah Street, Los Angeles, CA 90035",E & F Arco Gas Station,"15922 Inglewood Avenue, Lawndale, CA 90260",33.886177,-118.361351,"Service/Commercial Site, NEC",5541,Los Angeles,4,"NPDNONMUNIPRCS, WDRNONMUNIPRCS",Historical,Enrollee,R4-2007-0019,4B198600003,,,03/19/2007,08/19/2011,12/31/2012,,,A,3,0,0
ARCO Hamid Farsai Arco Station,"6002 Bolsa Avenue, Huntington Beach, CA 92648",GW Cleanup-H.B. Bolsa Ave,CA,,,Other,5541,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 303392001,CAG918001,,03/28/2002,06/17/2004,,.01,,B,2,0,0
ARCO Petroleum Products Company Aliso Viejo,"27141 Aliso Creek Road 270, Aliso Viejo, CA 92656-5305",ARCO Service Station #1908,"16251 D St, Victorville, CA 92392",,,Other,5541,San Bernardino,6V,"NPDESWW, NPDNONMUNIPRCS",Historical,WDR,90-051,6B369003002,,08/09/1990,08/09/1990,,08/09/1995,.086,,A,3,0,0
ARCO Petroleum Products Company Artesia,"Po Box 6411, Artesia, CA 90702-6411",ARCO SS#0068 Remed,"8001 Broadway, Lemon Grove, CA 91945",32.742825,-117.026265,Other,5541,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000713,CAG919002,,11/29/1995,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company Artesia,"Po Box 6411, Artesia, CA 90702-6411",ARCO SS#5231 Remed,"1100 E Main St, El Cajon, CA",,,Other,5541,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000621,CAG919002,,04/01/1994,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company Artesia,"Po Box 6411, Artesia, CA 90702-6411",ARCO SS#1939 Remed,"7654 El Camino Real, Carlsbad, CA 92009",33.087165,-117.268847,Other,5541,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000703,CAG919002,,10/05/1995,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company Artesia,"Po Box 6411, Artesia, CA 90702-6411",ARCO SS#1754 Remed,"300 W Washington Blvd, Escondido, CA",,,Other,5541,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000709,CAG919002,,10/05/1995,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",16804 Downey Ave.,"16804 Downey Avenue, Paramount, CA 90723",33.881853,-118.151342,Other,5541,Los Angeles,4,NPDNONMUNIPRCS,Historical,NPDES Permit,91-048,4B192208004,CA0059731,04/22/1991,04/22/1991,04/02/2003,04/10/1996,.144,Minor,A,3,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Station 210,"4000 Redondo Beach Boulevard, Torrance, CA 90504",33.876889,-118.344197,Gasoline Service Station,5541,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-046,4B196600007,CAG834001,,03/31/1994,01/24/2000,,.005,,B,2,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Vinvale Terminal,"8601 South Garfield Avenue, South Gate, CA 90280",33.951967,-118.164432,Other,5171,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-047,4B196300093,CAG674001,,11/17/1998,12/23/1999,,.132,,C,3,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Former Arco#1361,"6739 West Olympic Boulevard, Los Angeles, CA 90048",34.059483,-118.375826,Other,5541,Los Angeles,4,"NPDESWW, NPDNONMUNIPRCS, WDRNONMUNIPRCS",Historical,Enrollee,97-046,4B196600120,CAG834001,,06/30/1998,06/09/2000,,.0216,Minor,B,2,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Tesoro Los Angeles Refinery - Carson Operations,"2350 East 223rd Street, Carson, CA 90745",33.82235,-118.23218,Petroleum Refinery,2911(+),Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-047,4B196300083,CAG674001,,08/05/1998,09/29/1999,,2.88,,C,3,1,3
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Arco Station #5206,"12525 Hadley, Whittier, CA 90601",33.982745,-118.042902,Other,554,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-046,4B196600026,CAG834001,,12/10/1993,02/04/1998,,.001,,B,2,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Arco Station #5028,"124 Pacific Coast, Long Beach, CA 90806",33.789848,-118.193078,Other,5541,Los Angeles,4,NPDESWW,Historical,NPDES Permit,91-082,4B192208012,CA0062405,07/22/1991,07/22/1991,11/02/1997,06/10/1996,.0324,Minor,B,3,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Arco Station #1691,"740 Rosecrans, Compton, CA 90222",33.903272,-118.236965,Other,5541,Los Angeles,4,NPDESWW,Historical,NPDES Permit,92-002,4B192208013,CA0062286,01/27/1992,01/27/1992,11/02/1997,12/10/1996,.0216,Minor,B,3,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Arco Station #1618,"5304 Paramount, Lakewood, CA 90712",33.853903,-118.159788,Other,7997,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-046,4B196600049,CAG834001,,04/28/1995,08/25/1997,,.0216,,B,2,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Arco Station #1090,"14000 Lambert Road, Whittier, CA 90602",33.63278,-118.07639,Other,5531,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-046,4B196600037,CAG834001,,06/10/1994,02/24/2000,,.014,Minor,B,2,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Arco Station #1057,"6100 Franklin, Los Angeles, CA 90601",,,"Service/Commercial Site, NEC",7997,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2002-0125,4B196600014,CAG834001,,05/15/2003,08/09/2005,07/11/2007,.072,Minor,B,2,0,0
ARCO Petroleum Products Company Carson,"1801 East Sepulveda Boulevard, Carson, CA 90749",Station 1235,"1800 Artesia Boulevard, Torrance, CA 90248",,,Gasoline Service Station,5541,Los Angeles,4,NPDNONMUNIPRCS,Historical,NPDES Permit,94-061,4B192208017,CA0063291,07/18/1994,07/18/1994,08/24/1997,07/10/1999,.015,Minor,B,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",ARCO SS #0447 - Dana Point,"34342 Pacific Coast, Dana Point, CA 92629",33.464678,-117.68583,Other,5541,Orange,9,NPDNONMUNIPRCS,Historical,Enrollee,01-096,9 000000944,CAG919002,,06/13/1996,10/09/2001,,.5,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",Former Unocal Station No. 5865,"4410 Imperial Highway, Inglewood, CA 90304",33.93089,-118.35316,"Service/Commercial Site, NEC",5541,Los Angeles,4,"NPDNONMUNIPRCS, WDRNONMUNIPRCS",Historical,Enrollee - WDR,R4-2005-0030,4B198300022,,,07/18/2005,12/30/2008,05/04/2010,,Minor,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-Westmin.,Westmin","6982 Westminster, Westminster, CA 92683",33.759117,-118.007382,Other,4959,Orange,8,NPDESWW,Historical,NPDES Permit,90-042,8 302642001,CA8000177,05/11/1990,05/11/1990,,05/01/1995,.0108,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-Westmin.,Golden Wes","13142 Goldenwest, Westminster, CA 92683",33.77167,-118.00722,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 303360001,CAG918001,,05/24/2001,01/22/2002,,.014,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",Former Arco Station #1064,"14511 Brookhurst, Westminster, CA 92683",33.752128,-117.955016,Gasoline Service Station,5541(+),Orange,8,NPDESWW,Historical,NPDES Permit,91-011,8 302675001,CA8000201,02/08/1991,02/08/1991,,02/01/1996,.0001,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-Tustin,Newport Ave.","14244 Newport, Tustin, CA 92680",,,Other,4959,Orange,8,"NPDESWW, NPDNONMUNIPRCS",Historical,NPDES Permit,86-152,8 302512001,CA8000067,10/10/1986,10/10/1986,,10/01/1991,.01,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-Seal Beach,S.B. Blv","12800 Seal Beach, Seal Beach, CA 90740",33.777888,-118.072106,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302731001,CAG918001,,12/11/1991,12/06/1996,,.0144,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-S.A.,Main,#6071","3414 Main, Santa Ana, CA",,,Other,4959,Orange,8,"NPDESWW, NPDNONMUNIPRCS",Historical,NPDES Permit,90-043,8 302643001,CA8000178,06/08/1990,06/08/1990,,06/01/1995,.0108,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-S.A.,Main #5147","2245 Main, Santa Ana, CA 92707",33.716599,-117.86793,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302751001,CAG918001,,10/01/1992,04/22/1997,,.01,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",ARCO Station #3085,"3361 Bristol, Santa Ana, CA 92704",33.701464,-117.885409,Other,5541,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 303419001,CAG918001,,04/03/2003,05/25/2006,01/01/2007,,,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-Irvine,Culver #3091","14493 Culver, Irvine, CA 92656",,,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302779001,CAG918001,,06/22/1993,01/06/1997,,.0015,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-H.B.,Warner Ave.","5981 Warner, Huntington Beach, CA 92648",,,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 302742001,CAG918001,,12/31/1996,08/11/2005,,.008,,A,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-H.B.,Bolsa Chica","16502 Bolsa Chica, Huntington Beach, CA",,,"Service/Commercial Site, NEC",4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2007-0008,8 303370001,CAG918001,,07/12/2001,07/19/2012,02/01/2012,.01,Minor,A,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-H.B.,Beach Blvd","16742 Beach, Huntington Beach, CA 92647",33.719732,-117.989062,"Service/Commercial Site, NEC",4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2007-0008,8 303012001,CAG918001,,11/08/1996,01/04/2010,02/01/2012,.01,,A,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-H.B., Brookhurst","21452 Brookhurst, Huntington Beach, CA",,,Other,5541,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 303406001,CAG918001,,03/05/2003,12/03/2003,,,,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",Circle K Store 2211104 (Former Mobil 18-B4W),"12422 Valley View Street, Garden Grove, CA 92845",33.78205,-118.02897,Gasoline Service Station,5541(+),Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302810001,CAG918001,,10/12/1994,02/05/1997,,.0144,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-G.G.,G.G. Blvd.","9001 Garden Grove, Garden Grove, CA 92641",,,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 302890001,CAG918001,,12/26/1996,06/14/2006,,.0012,,A,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-G.G,Harbor","13361 Harbor Boulevard, Garden Grove, CA",33.769311,-117.920498,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 303368001,CAG918001,,06/22/2001,04/09/2007,,.01,,A,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",Former ARCO Station No. 3080,"2840 East Imperial, Fullerton, CA 92835",33.91041,-117.88054,Gasoline Service Station,5541,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 303426001,CAG918001,,05/22/2003,07/18/2007,,,,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-Cypress,Ball #1973","4988 Ball, Cypress, CA 90630",33.816844,-118.04573,Other,4959,Orange,8,"NPDNONMUNIPRCS, WDRNONMUNIPRCS",Historical,Enrollee,91-063,8 302801001,CAG918001,,05/16/1994,10/01/1996,,.0288,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-Corona,Main SS#1924","785 Main, Corona, CA 91720",,,Other,4959,Riverside,8,NPDESWW,Historical,WDR,88-006,8 332255001,,02/11/1988,02/11/1988,,02/01/1993,.004,,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-C.M.,Baker","1450 Baker, Costa Mesa, CA",,,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302800001,CAG918001,,05/11/1994,04/08/1997,,.025,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-C.M., Harbor #6131","3201 Harbor, Costa Mesa, CA",,,Other,5541,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 303407001,CAG918001,,03/05/2003,06/11/2003,,,,B,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-B.P.,Manchester Ave","6370 Manchester, Buena Park, CA",,,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302778001,CAG918001,,06/10/1993,12/18/1996,,.002,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066","GW Cleanup-B.P.,Knott Ave","7990 Knott, Buena Park, CA",,,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 302799001,CAG918001,,06/29/2000,08/17/2006,01/01/2007,.01,,A,2,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",Former ARCO SS#3012,"27641 Ynez Rd, Temecula, CA 92390",,,Other,5541,Riverside,9,NPDESWW,Historical,NPDES Permit,91-094,9 000000530,CAG919002,12/09/1991,12/09/1991,,12/09/2001,.01,Minor,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",ARCO SS#5410 Remed,"1725 Broadway, Chula Vista, CA",,,Other,5541,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000651,CAG919002,,09/09/1994,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",ARCO SS#3102 Remed,"23931 Alicia Parkway, Mission Viejo, CA 92691",33.614873,-117.678784,Other,5541,Orange,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000492,CAG919002,,07/12/1991,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company La Palma,"4 Centerpointe Drive, La Palma, CA 90623-1066",ARCO SS#1790 Remed,"6110 Mission Gorge Rd, San Diego, CA",,,Other,5541,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000712,CAG919002,,11/29/1995,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",#11208,"2695 Mckee, Santa Clara, CA 95133",,,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,91-056,2 438482001,CAG912002,,11/30/1993,04/17/1996,,.0072,Minor,A,3,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",Former Arco Service Stn. #1860,"3817 Third, Los Angeles, CA 90020",34.069026,-118.298171,Groundwater Cleanup Site,5984(+),Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2003-0111,4B196600144,CAG994004,,05/10/2001,04/06/2007,09/04/2003,.014,,B,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",BP Station #11231,"801 Fair Oaks, Sunnyvale, CA",,,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,91-056,2 438490001,CAG912002,,03/31/1994,04/17/1996,,.0072,Minor,A,3,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",BP Oil Site #11235,"1271 First, San Jose, CA 95110",37.317822,-121.875451,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,96-078,2 438417001,CAG912002,,12/20/1991,04/17/1996,,.0072,Minor,A,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",BP Oil Site #11227,"1787 Main, Milpitas, CA",,,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,91-056,2 438428001,CAG912002,,02/14/1992,04/17/1996,,.0072,Minor,A,3,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",BP Oil Site #11223,"97 Abbott, Milpitas, CA 95035",37.426912,-121.912627,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,96-078,2 438498001,CAG912002,,03/13/1995,04/17/1996,,.0072,Minor,A,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",BP Oil Site #11212,"14395 Big Basin, Saratoga, CA",,,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,91-056,2 438432001,CAG912002,,05/22/1992,04/17/1996,,.014,Minor,A,3,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",Arco Station No. 6035,"9824 Flair, El Monte, CA 91731",34.07211,-118.054694,Groundwater Cleanup Site,2999,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2002-0125,4B196600162,CAG834001,,05/15/2002,09/15/2004,,.003,,B,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",Arco Station #0194,"5884 Washington Boulevard, Culver City, CA 90230",34.0325,-118.37306,"Service/Commercial Site, NEC",5541,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2007-0021,4B196600177,CAG834001,,01/08/2003,02/08/2011,01/01/2011,.0072,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",Arco Gasoline SS#1601,"1785 Bellflower Boulevard, Long Beach, CA 90808",33.78833,-118.12472,"Service/Commercial Site, NEC",5541,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2003-0111,4B197500046,CAG994004,,12/21/2004,01/22/2009,08/07/2008,.0144,Minor,,,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",ARCO #3012,"27641 Ynez, Temecula, CA",,,Other,5541,Riverside,9,"NPDNONMUNIPRCS, WDRNONMUNIPRCS",Historical,Enrollee,R9-2008-0138,9 000001170,,11/18/2003,11/18/2003,06/20/2012,,,,B,3,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066","666 N. Santa Cruz, BP OIL","666 Santa Cruz, Los Gatos, CA 95030",37.235662,-121.977703,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,,2 438416001,,,,04/22/2010,,,Minor,,,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",5755 Camden Ave.,"5755 Camden, San Jose, CA 95124",37.232983,-121.903489,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,2 438627001,CAG912002,05/19/2004,05/19/2004,12/31/2010,09/19/2006,.0288,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066",3010 Union Ave.,"3010 Union, San Jose, CA 95124",37.267198,-121.931469,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,2 438623001,CAG912002,12/08/2003,12/08/2003,03/11/2011,09/19/2006,.0576,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066","1100 Tully Rd., ARCO SS#2144","1100 Tully, San Jose, CA 95122",37.314575,-121.837293,Other,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,01-100,2 438393003,CAG912002,,04/23/2002,09/19/2006,09/19/2006,.0144,Minor,B,2,0,0
ARCO Petroleum Products Company La Palma (BP),"6 Centerpointe Drive Lpr6-161, La Palma, CA 90623-1066","1099 Blossom Hill - SJ, BP OIL","1099 Blossom Hill, San Jose, CA 95123",37.250912,-121.874764,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,01-100,2 438587001,CAG912002,,01/29/2002,09/19/2006,10/28/2005,.072,Minor,B,2,0,0
ARCO Petroleum Products Company Los Angeles,"1055 West Seventh Street, Los Angeles, CA 90051-0570",Former ARCO SS #3027 Remed,"208 Hotel Circle South, San Diego, CA",,,Other,5541,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000605,CAG919002,,10/20/1993,06/12/2001,,0,,A,3,0,0
ARCO Petroleum Products Company Moraga,"Po Box 6549, Moraga, CA 94570","1100 Tully, ARCO SS#2144","1100 Tully, San Jose, CA 95122",37.314575,-121.837293,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,96-078,2 438393001,CAG912002,,07/12/1991,06/18/2001,,.0028,,A,2,0,0
ARCO Petroleum Products Company Moraga,"Po Box 6549, Moraga, CA 94570","5498 Monterey, SJ, ARCO 2092","5498 Monterey, San Jose, CA 95111",37.256321,-121.80337,Other,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,01-100,2 438551002,CAG912002,,02/01/1999,09/19/2006,09/19/2006,.0144,Minor,B,2,0,0
ARCO Petroleum Products Company San Jose,"Po Box 612530, San Jose, CA 95161",ARCO Station #5334,"707 Mathilda, Sunnyvale, CA 94087",37.36742,-122.037098,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,96-078,2 438444001,CAG912002,,08/27/1992,06/18/2001,,.0028,Minor,A,2,0,0
ARCO Petroleum Products Company San Mateo,"Po Box 5811, San Mateo, CA 94402",ARCO Station 434,"501 Kettleman, Lodi, CA 95240",38.116313,-121.262282,Other,5541,San Joaquin,5S,NPDESWW,Historical,NPDES Permit,96-27208,5B392084001,CA0082821,10/25/1996,10/25/1996,10/25/1996,10/25/1996,.003,Minor,,0,0,0
