Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,# Enforcement Actions within 5 years,# Violations within 5 years
"2050 S Bundy THC, LLC","11777 South San Vicente Boulevard, Los Angeles, CA 90049",2050 S. Bundy Drive,"2050 South Bundy Drive, Los Angeles, CA 90025",34.03328,-118.45442,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903152,CAG994004,,04/11/2023,02/21/2025,,,Minor,,,0,0
"207 Seaside Partners, LLC","444 West Ocean Boulevard 1108, Long Beach, CA 90802",207 Seaside Way Construction Project,"207 East Seaside Way, Long Beach, CA 90802",33.76532,-118.19426,"Residence, NEC",6552,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901078,CAG994004,,04/20/2016,06/10/2021,07/06/2018,.144,Minor,,,0,0
2126 Strand LLC,"600 Anderson Street, Manhattan Beach, CA 90266",2126 The Strand Single Family House,"2126 The Strand, Hermosa Beach, CA 90254",33.868555,-118.40425,Other,1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2008-0032,4B198900008,CAG994004,,08/19/2008,09/30/2009,09/30/2009,.5,Minor,,,0,0
220 Park Road Owner LLC,"145 Addison Avenue, Palo Alto, CA 94301",220 Park Road,"220 Park Road, Burlingame, CA 94010",37.58641,-122.35999,Domestic Site NEC,,San Mateo,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_41NPG446900,,,03/09/2022,06/13/2023,12/31/2023,,Minor,,,0,0
222 Main Street Investors LP,"5000 East Spring Street 500, Long Beach, CA 90815",Vibiana Apartments,"222 South Main Street, Los Angeles, CA 90012",34.05052,-118.24493,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901044,CAG994004,,11/19/2014,06/01/2016,07/06/2018,.1008,Minor,,,0,0
22nd District Agricultural Association,"2260 Jimmy Durante Boulevard, Del Mar, CA 92014-2216",22nd District Agricultural Association - Fireworks Event Location,"2260 Jimmy Durante Boulevard, Del Mar, CA 92014",32.97667,-117.25583,Outdoor Event Venue,7999,San Diego,9,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R9-2022-0002,9 000002294,CAG999002,,10/21/2022,,05/31/2027,,Minor,,3,0,0
"237 Winward, LLC","8228 Sunset Boulevard 211, West Hollywood, CA 90046",505 Silver Lake,"505 Silver Lake Boulevard, Los Angeles, CA 90026",34.07805,-118.28028,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903022,CAG994004,,06/25/2019,01/05/2021,11/13/2023,.144,Minor,,,0,2
250 Bryant Mountain View LLC - Lund Smith,"3201 Ash Street, Palo Alto, CA 94306",250 Bryant Street,"250 Bryant Street, Mountain View, CA 94041",,,Groundwater Cleanup Site,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2012-0012,2438690001,CAG912002,,09/19/2013,05/27/2014,03/15/2017,,Minor,B,2,0,0
26800 PCH & Associates LLP,,Gulls Way,"24255 Pacific Coast, Malibu, CA 90263",34.034744,-118.704227,Other,822,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4B196000224,CAG994001,,01/24/1996,08/30/2004,,.002275,,C,3,0,0
"27 DBV Owner, LLC","700 Second Street, Encinitas, CA 92024",GW Extraction - South Cove,"34202 Del Obispo Street, Dana Point, CA 92629",33.46488,-117.68349,Domestic Site NEC,,Orange,9,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R9-2015-0013,,,,08/05/2016,09/21/2016,10/05/2016,,Minor,,,0,0
"2847 Leeward, LLC","26527 Agoura Road 200, Calabasas, CA 91302",2847 Leeward,"2841-2847 Leeward Avenue, Los Angeles, CA 90005",34.05902,-118.28541,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903013,CAG994004,,03/25/2019,04/20/2022,11/13/2023,.144,Minor,,,0,0
2KUC Poway Development LLC,"11107 Roselle Street, San Diego, CA 92121",GW EX - 13247 Poway Road,"13247 Poway Road, Poway, CA 92064",32.9556,-117.0435,Domestic Site NEC,,San Diego,9,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R9-2015-0013,9 000003981,CAG919003,,03/27/2024,,09/30/2027,0.288,Minor,C,1,5,29
"3000 Broadway SPE, LLC","1901 Harrison Street, Oakland, CA 94612",NPDES General Permit No. CAG912002,"San Francisco Region, CA",,,Domestic Site NEC,,Alameda,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_01NPG420519,CAG912002,,03/30/2018,06/25/2019,,,Minor,,,0,0
"3000 Broadway SPE, LLC","1901 Harrison Street, Oakland, CA 94612",3000 Broadway,"3000 Broadway, Oakland, CA 94611",,,Domestic Site NEC,,Alameda,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_01NPG420519,CAG912002,,03/30/2018,06/25/2019,,,Minor,,,0,0
31438 Broad Beach Road LLC,"20750 Ventura Boulevard 155, Woodland Hills, CA 91364",Lingo Residence,"25306 Malibu Road, Malibu, CA 90265",34.03228,-118.72618,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2018-0125,4B198903134,,01/09/2023,01/09/2023,,11/13/2023,.144,Minor,,,1,7
3303 Sunset LLC,"1525 South Broadway, Los Angeles, CA 90015",3303 Sunset,"3303 Sunset Boulevard, Los Angeles, CA 90026",34.08673,-118.27512,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B198903092,CAG994004,11/13/2018,08/03/2021,,03/21/2029,0.216,Minor,C,2,0,4
