Place ID,order_key,PDF_File,as_of_dates,n_snapshots
205793,413895,R5-2009-0074.pdf,2021-06-01;2022-06-01,2
205793,413895,r5-2007-0031.pdf,2021-06-01;2022-06-01,2
205793,413895,r5-2012-0088.pdf,2021-06-01;2022-06-01,2
205793,413895,r5-2017-0063.pdf,2021-06-01;2022-06-01,2
205793,448453,R5-2009-0074.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
205793,448453,r5-2007-0031.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
205793,448453,r5-2012-0088.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
205793,448453,r5-2017-0063.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
205793,448453,r5-2022-0038_npdes.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,5
206149,148673,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
206164,436548,12_0031_ArcataWWTF_revisedNPDES.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206164,436548,14_0050_Arcata_Resolution_WERModOrder.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206164,436548,19_0006_Arcata_NPDES.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
206355,145426,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
206381,146831,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206381,404417,NOA 2014-0153-DWQ-R5190.pdf,2026-08-13,1
206529,143762,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206529,447528,NOA 2014-0153-DWQ-R5410 Ash Mountain WWTF.pdf,2026-08-13,1
206651,142084,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206651,445161,Atascadero State Hospital Revised NOA MRP_Final.pdf,2026-08-13,1
206653,142083,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206653,453001,R3-2020-0020 NOA MRP City of Atascadero_final.pdf,2026-08-13,1
206726,132086,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
206730,401600,R5-2010-0005.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206730,442169,R5-2023-0025-017_noa.pdf,2026-08-13,1
206732,132087,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206732,417094,,2026-08-13,1
206733,407662,R5-2010-0090.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206733,407662,R5-2011-0003.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206733,407662,r5-2005-0030.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206733,407662,r5-2016-0038.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206733,448871,r5-2017-0085-021_noa.pdf,2026-08-13,1
