"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_NAME","DESCRIPTION","OWNER_TYPE","SUPERFUND_FLAG","SEMS_ID","SCF_ELIGIBLE","REVIEW_STATUS","REVIEW_TYPE","DATE_LAST_MODIFIED","NO_NEEDS"
"32000200802",3507781,NV,Wastewater,Spanish Springs Interceptor,Sewer interceptor extension on the eastern side of Spanish Springs Valley. Phases 3 & 4.,Public,N,,N,UNC,,2023-05-03,
"13000072001",1109071,GA,Wastewater,Bartow WPCP,,Public,N,,N,UNC,,2023-06-15,
"42007457001",1197197,PA,Wastewater,LOWER POTTSGROVE CS,,Public,N,,N,UNC,,2023-05-03,
"42007512100",1197263,PA,Wastewater,RIDGWAY TWP CS,,Public,N,,N,UNC,,2023-05-03,
"42007569010",1197324,PA,Wastewater,WASHINGTON TWP SS TO PINE GROVE,,Public,N,,N,UNC,,2023-05-03,
"42007308001",1197151,PA,Wastewater,WASHINGTON TWP SEWER AUTH.,,Public,N,,N,UNC,,2023-05-03,
"42000056001",1227174,PA,Wastewater,OXFORD AREA STP,,Public,N,,N,UNC,,2023-05-03,
"42002349001",1227194,PA,Wastewater,LEHIGH TWP - PENNSVILLE STP,,Public,N,,N,UNC,,2023-05-03,
"42007572001",1227253,PA,Wastewater,MOSCOW BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42006181101",390925,PA,Wastewater,SUGAR GROVE AREA STP,,Public,N,,N,UNC,,2023-05-03,
"46000463001",1237175,SD,Wastewater,JEFFERSON STP,,Public,N,,N,UNC,,2012-04-15,
"46000537001",1237188,SD,Wastewater,ALLEN STP,,Public,N,,N,UNC,,2011-04-01,
"42005265001",3047588,PA,Wastewater,UNION TWP - ELRAMA SS,,Public,N,,N,UNC,,2023-05-03,
"42001111002",3050269,PA,Wastewater,FOSTER TWP SCHUYLKILL SS,,Public,N,,N,UNC,,2023-05-03,
"42006031002",441602,PA,Wastewater,NORTH EAST TWP SS EXTENSIONS,,Public,N,,N,UNC,,2023-05-03,
"28001763001",451113,MS,Wastewater,SHERMAN POTW,,Public,N,,N,UNC,,2023-05-03,
"45000074001",1157007,SC,Wastewater,CLIO WWTP,,Public,N,,N,UNC,,2023-05-03,
"45000104002",1157033,SC,Wastewater,CAYCE WWTP,,Public,N,,N,UNC,,2023-05-03,
"45000187001",1157086,SC,Wastewater,GREAT FALLS WWTP,,Public,N,,N,UNC,,2023-05-03,
"28000181001",1160223,MS,Wastewater,CALHOUN SEPTICS,,Public,N,,Y,UNC,,2023-05-03,
"28000535001",1160315,MS,Wastewater,HATTIESBURG SOUTH LAGOON,Replace the existing lagoon system with a mechanical treatment plant in order to meet stricter nutrient limits.,Public,N,,N,UNC,,2023-05-03,
"28000700001",1160353,MS,Wastewater,LOUISE POTW,,Public,N,,N,UNC,,2023-05-03,
"28001395001",1160530,MS,Wastewater,WALNUT POTW,,Public,N,,N,UNC,,2023-05-03,
"28001455003",1160540,MS,Wastewater,WEST POINT ANNEXATION  COLLECTION,,Public,N,,N,UNC,,2023-05-03,
"28001678001",1160677,MS,Wastewater,TOOMSUBA SEPTICS,,Public,N,,N,UNC,,2023-05-03,
"41000137001",1164383,OR,Wastewater,ENTERPRISE STP,,Public,N,,Y,UNC,,2023-05-03,
"42007111103",3222270,PA,Wastewater,PACKERS ISLAND SS TO SUNBURY,,Public,N,,N,UNC,,2023-05-03,
"28001824001",3480970,MS,Wastewater,TUNICA CO UD - MHOON SEWER COMPANY,,Public,N,,N,UNC,,2023-05-03,
"42000086003",3493840,PA,Wastewater,LONDON GROVE WWTP & Spray Fields,,Public,N,,N,UNC,,2023-05-03,
"45000101002",1157030,SC,Wastewater,SPRINGFIELD PLANT #2,,Public,N,,N,UNC,,2023-05-03,
"45000168001",1157076,SC,Wastewater,TIMMONSVILLE WWTP,,Public,N,,N,UNC,,2023-05-03,
"45000178001",1157081,SC,Wastewater,BATESBURG STP,,Public,N,,N,UNC,,2023-05-03,
"28001330001",1160505,MS,Wastewater,TISHOMINGO POTW,,Public,N,,N,UNC,,2023-05-03,
"41000156001",1164399,OR,Wastewater,HALFWAY STP,,Public,N,,Y,UNC,,2023-05-03,
"45000270001",1157167,SC,Wastewater,SPRINGDALE COL. SYS.,,Public,N,,N,UNC,,2023-05-03,
"45000274002",1157177,SC,Wastewater,LEESVILLE COLLECTION SYS.,,Public,N,,N,UNC,,2023-05-03,
"45009005001",1157277,SC,Wastewater,PAMPLICO W.W. SYS.,,Public,N,,N,UNC,,2023-05-03,
"28000535002",1160316,MS,Wastewater,HATTIESBURG NORTH LAGOON,,Public,N,,N,UNC,,2023-05-03,
"28000655001",1160343,MS,Wastewater,"LAUREL POTW, NUMBER 1",,Public,N,,N,UNC,,2023-05-03,
"28000715001",1160357,MS,Wastewater,LULA POTW,,Public,N,,N,UNC,,2023-05-03,
"28001290001",1160493,MS,Wastewater,SUNFLOWER POTW,,Public,N,,N,UNC,,2023-05-03,
"28001315001",1160501,MS,Wastewater,TERRY POTW,,Public,N,,N,UNC,,2023-05-03,
"28001380001",1160526,MS,Wastewater,VARDAMAN POTW,,Public,N,,N,UNC,,2023-05-03,
"06005036001",1175557,CA,Wastewater,TRANQUILLITY WWTF,,Public,N,,Y,UNC,,2023-05-03,
"46000369001",1179261,SD,Wastewater,CAVOUR LAGOONS,,Public,N,,N,UNC,,2013-04-26,
"46000468001",1179327,SD,Wastewater,LANGFORD STP,,Public,N,,N,UNC,,2013-04-26,
"46000567001",1179412,SD,Wastewater,VIVIAN WWTP,,Public,N,,N,UNC,,2011-04-01,
"42000034001",1195370,PA,Wastewater,SOUDERTON BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42000067001",1195404,PA,Wastewater,SCHWENKSVILLE BORO AUTH,,Public,N,,N,UNC,,2023-05-03,
"42000098002",1195434,PA,Wastewater,UPPER MERION -MATSUNK STP,,Private,N,,N,UNC,,2023-05-03,
"42001309001",1195761,PA,Wastewater,FRANKLIN TWP CARBON SS,,Public,N,,N,UNC,,2023-05-03,
"42001329001",1195775,PA,Wastewater,BEAVER MEADOWS BORO,,Public,N,,N,UNC,,2023-05-03,
"42002037001",1195807,PA,Wastewater,CARBONDALE TWP CS,,Public,N,,N,UNC,,2023-05-03,
"42002058001",1195827,PA,Wastewater,ASHLEY BORO CS,,Public,N,,N,UNC,,2023-05-03,
"42002067001",1195835,PA,Wastewater,JENKINS TWP SS,,Public,N,,N,UNC,,2023-05-03,
"42002104001",1195872,PA,Wastewater,TAYLOR BORO CS,,Public,N,,N,UNC,,2023-05-03,
"42003045002",1196021,PA,Wastewater,CONEMAUGH TWP TIRE HILL STP,,Public,N,,N,UNC,,2023-05-03,
"42003059001",1196029,PA,Wastewater,MONT ALTO STP,,Public,N,,N,UNC,,2023-05-03,
"42003099001",1196079,PA,Wastewater,WEST YORK BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42003117002",1196095,PA,Wastewater,MCKNIGHTSTOWN-CASHTOWN SS,,Public,N,,N,UNC,,2023-05-03,
"42003135001",1196119,PA,Wastewater,GLEN ROCK SEW AUTH,,Public,N,,N,UNC,,2023-05-03,
"42003137001",1196121,PA,Wastewater,DOVER BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42003258001",1196203,PA,Wastewater,CORNWALL BORO CS,,Public,N,,N,UNC,,2023-05-03,
"42003274001",1196218,PA,Wastewater,FRANKLIN TWP SS TO DILLSBURG,,Public,N,,N,UNC,,2023-05-03,
"42004102001",1196322,PA,Wastewater,JACKSON TWP CAMBRIA,,Public,N,,N,UNC,,2023-05-03,
"42004106002",1196326,PA,Wastewater,CONYNGHAM TWP ARISTES STP,,Public,N,,N,UNC,,2023-05-03,
"42004280001",1196425,PA,Wastewater,TURBOTVILLE BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42004285001",1196432,PA,Wastewater,PORT ROYAL STP,,Public,N,,N,UNC,,2023-05-03,
"42005034001",1196507,PA,Wastewater,BALDWIN BORO CS TO ALCOSAN,,Public,N,,N,UNC,,2023-05-03,
"42005115001",1196613,PA,Wastewater,CHESWICK BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42005196001",1196698,PA,Wastewater,APPLEWOLD BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42005238001",1196726,PA,Wastewater,PATTERSON TWP SS TO BEAVER FALLS,,Public,N,,N,UNC,,2023-05-03,
"42006014001",1196968,PA,Wastewater,FRANKLIN CITY STP,,Public,N,,N,UNC,,2023-05-03,
"42006045001",1196989,PA,Wastewater,PLEASANTVILLE BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42006049001",1196992,PA,Wastewater,MOOSE CK SS TO CLEARFIELD,,Public,N,,N,UNC,,2023-05-03,
"42007471001",1197205,PA,Wastewater,WEST LAWN BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42007487001",1197222,PA,Wastewater,YARDLEY SEWERS,,Public,N,,N,UNC,,2023-05-03,
"42003007001",1195988,PA,Wastewater,EAST BERLIN BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42003119001",1227204,PA,Wastewater,BLOOMFIELD BORO STP,,Public,N,,N,UNC,,2023-05-03,
"28000590001",1233737,MS,Wastewater,INDIANOLA POTW,,Public,N,,N,UNC,,2023-05-03,
"45000234003",1238534,SC,Wastewater,YORK WWTP,,Public,N,,N,UNC,,2023-05-03,
"45000608003",3067650,SC,Wastewater,ECW&SA/JOHNSTON PLANT #1,,Public,N,,N,UNC,,2023-05-03,
"42005423001",3210928,PA,Wastewater,CENTRAL INDIANA COUNTY JSA,,Public,N,,N,UNC,,2023-05-03,
"28000110003",3276368,MS,Wastewater,WEST BILOXI COLLECTION,,Public,N,,N,UNC,,2023-05-03,
"28001090003",3380730,MS,Wastewater,"RAYMOND POTW, WEST",,Public,N,,N,UNC,,2023-05-03,
"42003013102",392094,PA,Wastewater,Granville Twp Strodes Mills STP,,Public,N,,N,UNC,,2023-05-03,
"32000200413",407154,NV,Wastewater,SUN VALLEY INTERCEPTOR,,Public,N,,N,UNC,,2023-05-03,
"42000137002",420980,PA,Wastewater,UPPER HANOVER PERKIOMEN CK STP,,Public,N,,N,UNC,,2023-05-03,
"42004071005",432403,PA,Wastewater,WALKER TWP HUBLERSBURG STP,,Public,N,,N,UNC,,2023-05-03,
"42000023827",3104792,PA,Wastewater,Norwood Boro CS,,Public,N,,N,UNC,,2023-05-03,
"06005527001",1175819,CA,Wastewater,Sandhill Collection System,,Public,N,,N,UNC,,2023-05-03,
"46000017001",1179123,SD,Wastewater,GARRETSON WWT WORKS,,Public,N,,N,UNC,,2013-04-26,
"46000045001",1179147,SD,Wastewater,IPSWICH WWT FACILITY,,Public,N,,N,UNC,,2013-04-26,
"46000454001",1179318,SD,Wastewater,GLENHAM STP,,Public,N,,N,UNC,,2013-04-26,
"46000480001",1179335,SD,Wastewater,MURDO STP,,Public,N,,N,UNC,,2013-04-26,
"46000482001",1179336,SD,Wastewater,NEW EFFINGTON STP,,Public,N,,N,UNC,,2013-04-26,
"46000553001",1179399,SD,Wastewater,CROOKS WWTF,,Public,N,,N,UNC,,2013-04-26,
"46000113001",1179210,SD,Wastewater,HERREID WWTP,,Public,N,,N,UNC,,2013-04-26,
"46000372001",1179262,SD,Wastewater,WOLSEY LAGOON,,Public,N,,N,UNC,,2012-04-15,
"46000580001",1179415,SD,Wastewater,LEGION LAKE RESORT,,Public,N,,N,UNC,,2012-04-15,
"42000042003",1195377,PA,Wastewater,MONTGOMERY TWP CS TO AMBLER,,Public,N,,N,UNC,,2023-05-03,
