facility_name,txt_file,extraction_file,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Burbank WRP,4424_R4-2023-0358_WDR_PKG.txt,4424_R4-2023-0358_WDR_PKG_212135.json,3527,8337,11864,2688,
Burlingame WWTP,Burlingame R2-2023-0010.txt,Burlingame R2-2023-0010_210839.json,3655,8277,11932,2752,
Deuel Vocational Institution,r5-2022-0006-036.txt,r5-2022-0006-036_219701.json,3876,8434,12310,3328,
CA Dept of Corrections Centinela WWTP,R7-2024-0019.txt,R7-2024-0019_213850.json,5891,8647,14538,4928,
California Men's Colony WWTP,CMC NPDES Order R3-2020-0005 amended for new MRP.txt,CMC NPDES Order R3-2020-0005 amended for new MRP_212681.json,4492,8578,13070,4096,
Forest Meadows WWRP,r5-2024-0067_npdes.txt,r5-2024-0067_npdes_717684.json,3046,8126,11172,2368,
Copper Cove WWRF,r5-2023-0013_npdes.txt,r5-2023-0013_npdes_255003.json,2026,8193,10219,1664,
Calexico City WWTP,R7-2025-0007.txt,R7-2025-0007_212589.json,5287,8650,13937,3904,
Calipatria City WWTP,R7-2020-0010.txt,R7-2020-0010_212739.json,3110,8382,11492,2624,
Calistoga City Dunaweal WWTP,R2-2022-0010.txt,R2-2022-0010_212750.json,7138,9580,16718,5440,
Camarillo WRP,1278_R4-2019-0136_WDR_PKG.txt,1278_R4-2019-0136_WDR_PKG_216719.json,934,8124,9058,832,
Carmel Area WWTP,Carmel_Area_WWTP_final.txt,Carmel_Area_WWTP_final_213281.json,7713,9073,16786,5632,
Carpinteria SD WWTP,Revised_CA0047364_Carpinteria.txt,Revised_CA0047364_Carpinteria_213332.json,3747,8099,11846,2944,
Oro Loma/Castro Valley SD WPCP,Order R2-2024-0006.txt,Order R2-2024-0006_246217.json,3506,8836,12342,2560,
Oro Loma/Castro Valley SD WPCP,EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_246217.json,3416,8839,12255,2688,
Cayucos SD WWTP,Order R3-2020-0004_final.txt,Order R3-2020-0004_final_824400.json,5237,8364,13601,4096,
Central Contra Costa SD WWTP,R2-2022-0020.txt,R2-2022-0020_213875.json,6307,8968,15275,4736,
Central Marin San. Agcy. WWTP,Final Order Central Marin Sanitation Agency.txt,Final Order Central Marin Sanitation Agency_213889.json,5350,8704,14054,4096,
Chester STP,r5-2021-0022_npdes.txt,r5-2021-0022_npdes_214199.json,4337,8506,12843,3584,
Chico Water Pollution Control Plant,r5-2022-0033_npdes.txt,r5-2022-0033_npdes_271805.json,5801,8750,14551,4736,
Paso Robles WWTP,Order R3-2021-0001_final.txt,Order R3-2021-0001_final_247750.json,6896,8907,15803,4480,
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.txt,7-18-22_MorroBay_finalorder_882248.json,6589,8764,15353,4736,
Calera Creek Water Recycling Plant,CA0038776 R2-2022-0029 NPDES Permit.txt,CA0038776 R2-2022-0029 NPDES Permit_212585.json,7869,8946,16815,6080,
Clear Creek WWTP,r5-2022-0040_npdes.txt,r5-2022-0040_npdes_214802.json,6705,9747,16452,5056,
Stillwater WWTF,r5-2023-0017_npdes.txt,r5-2023-0017_npdes_258676.json,4745,8419,13164,3520,
Santa Cruz WWTP,R3-2023-0001.txt,R3-2023-0001_255632.json,5362,8467,13829,4352,
Ventura WRF,VWRF Adopted NPDES CI-10859.txt,VWRF Adopted NPDES CI-10859_271054.json,8492,9069,17561,6080,
Ventura WRF,1822_R4-2020-0024_WDR.txt,1822_R4-2020-0024_WDR_271054.json,9565,9701,19266,6912,
Cloverdale City WWTP,18_0034_City of Cloverdale_WWTF_NPDES.txt,18_0034_City of Cloverdale_WWTF_NPDES_214888.json,4909,8497,13406,3904,
Clovis WWTF,r5-2024-0036_npdes.txt,r5-2024-0036_npdes_214899.json,4037,8299,12336,3200,
Coachella SD WWTP,R7-2026-0006.txt,R7-2026-0006_214933.json,6985,9422,16407,5504,
Coachella Valley WD WWTP,R7-2023-0013.txt,R7-2023-0013_216446.json,9240,9407,18647,7552,
City of Colfax WWTP,r5-2023-0025-001_noa.txt,r5-2023-0025-001_noa_215106.json,1986,8432,10418,1664,
"College of the Redwoods, POTW",180607_JCM_dp_College_of_the_Redwoods_NOA (003).txt,180607_JCM_dp_College_of_the_Redwoods_NOA (003)_215141.json,5834,9140,14974,5184,
Colton WRF,12-0050_City_of_Colton_WDR.txt,12-0050_City_of_Colton_WDR_259146.json,3896,8386,12282,2944,
"Colton/San Bernadino STP, RIX",13-0032_Coton-San_Bernardino_RTT_Water_Reclam_Auth.txt,13-0032_Coton-San_Bernardino_RTT_Water_Reclam_Auth_259178.json,2769,8239,11008,2368,
City of Colusa WWTP,r5-2022-0020_npdes.txt,r5-2022-0020_npdes_215225.json,6097,8494,14591,4672,
City of Corning WWTP,r5-2022-0022_npdes.txt,r5-2022-0022_npdes_215750.json,2695,8293,10988,1920,
Corona WWRF #3,14-0015_City_of_Corona_DW&P_WD&RR_WRF_No_3.txt,14-0015_City_of_Corona_DW&P_WD&RR_WRF_No_3_259174.json,3425,8174,11599,2880,
Country Life MHPRV Asset Partners LP WWTP,R7-2023-0041.txt,R7-2023-0041_215925.json,4745,8456,13201,3648,
Covelo POTW,23_0006_covelo_csd_06.20.2023_eosigned.txt,23_0006_covelo_csd_06.20.2023_eosigned_215966.json,6505,9094,15599,5056,
Crescent City WWTP,23_0039_CrescentCity_NPDES.txt,23_0039_CrescentCity_NPDES_216106.json,7221,8722,15943,5760,
Port Costa WWTP,R2-2024-0009 Port Costa NPDES Order.txt,R2-2024-0009 Port Costa NPDES Order_248886.json,5075,8530,13605,4224,
Cutler-Orosi WWTF,r5-2025-0013_ndpes.txt,r5-2025-0013_ndpes_273166.json,4798,8802,13600,3648,
Cuyama CSD WWTP,noa.txt,noa_216428.json,3817,8267,12084,3072,
Date Gardens MHP WWTP,Order R7-2023-0046- Date Gardens MHPWWTP_NPDES.txt,Order R7-2023-0046- Date Gardens MHPWWTP_NPDES_219146.json,6079,8566,14645,4928,
City of Davis WWTP,r5-2025-0026_npdes.txt,r5-2025-0026_npdes_219223.json,3640,8616,12256,2816,
Delta Diablo WWTP,R2-2019-0035.txt,R2-2019-0035_219552.json,7740,9023,16763,5632,
Donner Summit PUD WWTP,R5-2021-0023_npdes.txt,R5-2021-0023_npdes_220548.json,4094,8402,12496,3200,
Dublin San Ramon SD WWTP,DSRSD - R2-2022-2024.txt,DSRSD - R2-2022-2024_220792.json,6182,8821,15003,4672,
Dublin San Ramon SD WWTP,EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_220792.json,3367,8823,12190,2368,
Dublin San Ramon SD WWTP,LAVWMA - R2-2021-0007.txt,LAVWMA - R2-2021-0007_220792.json,2846,8673,11519,2432,
Dunsmuir WWTP,r5-2024-0009_npdes.txt,r5-2024-0009_npdes_220850.json,6452,8856,15308,5184,
EBDA Common Outfall,EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_222123.json,1980,8819,10799,1856,
EBMUD SD#1-Wet Wthr Bypass,R2-2025-0006.txt,R2-2025-0006_222130.json,3991,8630,12621,3008,
EBMUD WPCP,R2-2026-0003.txt,R2-2026-0003_222132.json,4388,8418,12806,3072,
East Brother Light StationWWTP,Final Order Package 2010-0113.txt,Final Order Package 2010-0113_223236.json,3331,8328,11659,2880,
East County Advanced Water Purification (AWP) Project,r9_2025_0003.txt,r9_2025_0003_897869.json,8190,8793,16983,6464,
Temescal Creek Outfall,R8-2015-0006_EMWD_Temescal_Creek_Discharge.txt,R8-2015-0006_EMWD_Temescal_Creek_Discharge_259196.json,401,8911,9312,384,
El Centro City WWTP,R7-2024-0041.txt,R7-2024-0041_222407.json,5702,8610,14312,4352,
Deer Creek WWTP,eid_deercreek_wwtp_mgo_noa_revised.txt,eid_deercreek_wwtp_mgo_noa_revised_219398.json,7041,8532,15573,5376,
El Dorado Hills WWTP,eid_edh_wwtp_mgo_noa_final.txt,eid_edh_wwtp_mgo_noa_final_222434.json,5288,8799,14087,3776,
EVMWD Regional WWRF,13-0017_Elsinore_Valley_MWD_RWRF_Renewal_WDR_&_NPDES_Permit.txt,13-0017_Elsinore_Valley_MWD_RWRF_Renewal_WDR_&_NPDES_Permit_259214.json,5320,8495,13815,4224,
Vallecitos WD Meadowlark WRP,EncinaOO_FinalOrderR9-2018-0059.txt,EncinaOO_FinalOrderR9-2018-0059_269989.json,655,8204,8859,640,
Encina Water Pollution Control Facility,EncinaOO_FinalOrderR9-2018-0059.txt,EncinaOO_FinalOrderR9-2018-0059_222758.json,3418,8192,11610,2432,
Encina Ocean Outfall,EncinaOO_FinalOrderR9-2018-0059.txt,EncinaOO_FinalOrderR9-2018-0059_222754.json,4761,8188,12949,3520,
Carlsbad WRF,EncinaOO_FinalOrderR9-2018-0059.txt,EncinaOO_FinalOrderR9-2018-0059_213270.json,1233,8188,9421,1216,
Membrane Filtration/Reverse Osmosis Facility - Escondido,CA0107981_OrderR920180002.txt,CA0107981_OrderR920180002_846371.json,3997,9307,13304,3776,
HARRF DISCH to San Elijo Ocean Outfall,CA0107981_OrderR920180002.txt,CA0107981_OrderR920180002_229726.json,5813,9303,15116,4032,
Eureka City Elk River WWTP,23_0016_Eureka_WWTP_NPDES_09.21.23.txt,23_0016_Eureka_WWTP_NPDES_09.21.23_223010.json,1228,8295,9523,1024,
Fairfield-Suisun Sewer District Subregional WWTP,Order R2-2025-0028.txt,Order R2-2025-0028_225526.json,6111,8979,15090,4288,
Fallbrook Water Reclamation Plant,AmendedOrderR9-2019-0169_DigitalSignature signed dwg 12-14-21.txt,AmendedOrderR9-2019-0169_DigitalSignature signed dwg 12-14-21_224137.json,8066,8703,16769,6272,
Fallbrook Water Reclamation Plant,AmendingOrderR920210204_DigitalSignature signed dwg 12-17-21.txt,AmendingOrderR920210204_DigitalSignature signed dwg 12-17-21_224137.json,7607,8703,16310,5824,
Fallbrook Water Reclamation Plant,Fallbrook_Final_Adopted_Order_R9-2019-0169.txt,Fallbrook_Final_Adopted_Order_R9-2019-0169_224137.json,7768,8703,16471,5952,
Fallbrook Water Reclamation Plant,R9-2019-0169_Amended2020 signed dwg 08-17-20.txt,R9-2019-0169_Amended2020 signed dwg 08-17-20_224137.json,7768,8703,16471,5952,
Fallbrook Water Reclamation Plant,R9-2020-0193_Final_Order signed dwg 08-17-20.txt,R9-2020-0193_Final_Order signed dwg 08-17-20_224137.json,7841,8703,16544,5824,
Ferndale City POTW,18_0046_Ferndale_NPDES.txt,18_0046_Ferndale_NPDES_224348.json,7327,9061,16388,5824,
Forestville Water District,2024_0004_forestville_npdes_signed.txt,2024_0004_forestville_npdes_signed_224901.json,6927,9730,16657,5440,
Fort Bragg City WWTP,19_0020_FortBragg_NPDES.txt,19_0020_FortBragg_NPDES_225055.json,7622,8914,16536,5376,
Fortuna City WWTP,17_0005_Fortuna_NPDES.txt,17_0005_Fortuna_NPDES_225089.json,4915,8777,13692,3584,
Galt WWTP & Reclamation Facility,r5-2017-0085-016.txt,r5-2017-0085-016_226690.json,5521,8392,13913,4096,
Goleta SD WWTP,R3-2017-021_Goleta_finalCA0048160.txt,R3-2017-021_Goleta_finalCA0048160_227568.json,6393,8444,14837,4672,
Grass Valley City WWTP,r5-2017-0085-019.txt,r5-2017-0085-019_227818.json,4259,8138,12397,3200,
Graton CSD,18_0001_Graton_NPDES.txt,18_0001_Graton_NPDES_256050.json,6397,9361,15758,4480,
Delleker WWTP,R5-2019-0052.txt,R5-2019-0052_219530.json,2547,8443,10990,2176,
Hayward WPCF,EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_229882.json,4469,8819,13288,3200,
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.txt,22_0017_Healdsburg_WWTF_NPDES_229922.json,5819,8604,14423,4160,
Heber PUD WWTP,R7-2022-0007.txt,R7-2022-0007_229967.json,5960,8795,14755,4608,
Heritage Ranch WWTP,R3-2017-0026 Final.txt,R3-2017-0026 Final_230132.json,4861,8922,13783,3840,
Holtville City WWTP,R7-2022-0005.txt,R7-2022-0005_230588.json,5696,8413,14109,4352,
Shelter Cove POTW,22_0002shltrCvNPDES.txt,22_0002shltrCvNPDES_256749.json,6486,8768,15254,4928,
Imperial CCD WWTP,R7-2025-0019.txt,R7-2025-0019_232259.json,4652,8282,12934,3648,
Imperial City WWTP,R7-2021-0002.txt,R7-2021-0002_232297.json,6689,8660,15349,5568,
IEUA Regional Plant No. 4,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.txt,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP_742794.json,6091,9582,15673,4288,
IEUA Carbon Canyon WWRF,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.txt,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP_259184.json,3642,9578,13220,2752,
IEUA Regional Plant No. 5,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.txt,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP_259169.json,9281,9582,18863,6144,
IEUA Regional Plant No. 2,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.txt,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP_259166.json,3212,9582,12794,2432,
IEUA Regional Plant No. 1,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.txt,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP_259165.json,5538,9582,15120,3712,
Ironhouse WWTF,R5-2024-0038.txt,R5-2024-0038_232656.json,4847,8405,13252,4032,
Los Alisos WD WWTP,R8-2015-0024_Irvine Ranch Water District.txt,R8-2015-0024_Irvine Ranch Water District_758391.json,3337,8862,12199,2560,
Los Alisos WD WWTP,R8-2018-0070_IRWD__Amending_R8-2015-0024.txt,R8-2018-0070_IRWD__Amending_R8-2015-0024_758391.json,4861,8794,13655,4032,
Michelson WWRF,R8-2015-0024_Irvine Ranch Water District.txt,R8-2015-0024_Irvine Ranch Water District_259156.json,7426,8858,16284,5632,
Michelson WWRF,R8-2018-0070_IRWD__Amending_R8-2015-0024.txt,R8-2018-0070_IRWD__Amending_R8-2015-0024_259156.json,5175,8790,13965,4480,
City of Jackson WWTP,r5-2023-0025-002_noa.txt,r5-2023-0025-002_noa_214642.json,3421,8206,11627,2560,
A.K. Warren Water Resource Facility,Adopted JWPCP PERMIT NPDES CI-1758 05252023.txt,Adopted JWPCP PERMIT NPDES CI-1758 05252023_234156.json,337,10002,10339,320,
White Point Outfall Manifold Construction Dewatering Project,10371_R4-2019-0053_WDR_PKG.txt,10371_R4-2019-0053_WDR_PKG_840718.json,1008,8471,9479,896,
San Jose Creek Water Reclamation Plant,5542_R4-2021-0131_WDR_PKG.txt,5542_R4-2021-0131_WDR_PKG_260156.json,4641,8319,12960,3712,
Pomona Water Reclamation Plant,0755_R4-2021-0097_WDR_PKG.txt,0755_R4-2021-0097_WDR_PKG_250700.json,5556,9974,15530,4416,
Los Coyotes WRP,5059_R4-2021-0142_WDR_PKG (signed).txt,5059_R4-2021-0142_WDR_PKG (signed)_238646.json,4403,8530,12933,3584,
Long Beach WRP,5662_R4-2022-0032_WDR_PKG.txt,5662_R4-2022-0032_WDR_PKG_238562.json,4169,8480,12649,3392,
Whittier Narrows Water Reclamation Plant,2848_R4-2021-0096_WDR_PKG.txt,2848_R4-2021-0096_WDR_PKG_235826.json,4803,8548,13351,3968,
Las Gallinas WWTP,R2-2020-0022.txt,R2-2020-0022_236598.json,8960,9743,18703,6528,
Tapia WRF,4760_R4-2017-0124_WDR_PKG.txt,4760_R4-2017-0124_WDR_PKG_266940.json,7800,9729,17529,5696,
City of Lathrop Consolidated Treatment Facility,r5-2022-0004-01_npdes.txt,r5-2022-0004-01_npdes_271781.json,6421,8764,15185,4928,
City of Lathrop Consolidated Treatment Facility,r5-2022-0004_npdes.txt,r5-2022-0004_npdes_271781.json,6526,8748,15274,5120,
City of Lathrop Consolidated Treatment Facility,r5-2023-0032_npdes_ao.txt,r5-2023-0032_npdes_ao_271781.json,3824,8170,11994,3200,
Lincoln City WWTF,r5-2024-0024_npdes.txt,r5-2024-0024_npdes_238365.json,5636,8558,14194,3968,
Linda Cnty Water District WWTP,r5-2022-0070_npdes.txt,r5-2022-0070_npdes_237060.json,6289,9378,15667,5120,
Live Oak City WWTP,R5-2017-0085-018.txt,R5-2017-0085-018_214647.json,7494,8452,15946,6016,
City of Livermore Water Reclamation Plant,City of Livermore - R2-2022-2025.txt,City of Livermore - R2-2022-2025_237195.json,5244,8585,13829,4032,
City of Livermore Water Reclamation Plant,EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_237195.json,591,8835,9426,576,
City of Livermore Water Reclamation Plant,LAVWMA - R2-2021-0007.txt,LAVWMA - R2-2021-0007_237195.json,3132,8685,11817,2816,
White Slough Water Pollution Control Facility,R5-2023-0025-010.txt,R5-2023-0025-010_272444.json,5134,8409,13543,3968,
Loleta WWTF,20_0002_Loleta_CSD_WDR and Recycling NPDES.txt,20_0002_Loleta_CSD_WDR and Recycling NPDES_237295.json,3763,8534,12297,3072,
Lompoc City Regional Wastewater Reclamation Plant,lompoc_finalorder.txt,lompoc_finalorder_237315.json,465,8079,8544,448,
Hyperion WWTP,Hyperion NPDES CA0109991 CI-1492_FINAL+SIGNED.txt,Hyperion NPDES CA0109991 CI-1492_FINAL+SIGNED_232063.json,5425,8771,14196,3968,
Donald C. Tillman WWRP,Adopted DCTWRP NPDES CI-5695_01242023.txt,Adopted DCTWRP NPDES CI-5695_01242023_267571.json,7155,8636,15791,5824,
Terminal Island Water Reclamation Plant,TIWRP Adopted Permit 06102021_signed.txt,TIWRP Adopted Permit 06102021_signed_267130.json,6404,8995,15399,5120,
Los Angeles-Glendale WWRP,Final LAG NPDES permit_CI 5675 Final_Signed.txt,Final LAG NPDES permit_CI 5675 Final_Signed_235738.json,5476,8604,14080,3968,
Malibu Mesa WRP,6599_R4-2021-0062_WDR.txt,6599_R4-2021-0062_WDR_242162.json,4821,8679,13500,3392,
Valencia WRP,4993_R4-2022-0174_WDR_PKG.txt,4993_R4-2022-0174_WDR_PKG_270849.json,5940,8781,14721,4352,
Saugus Water Reclamation Plant,2960_R4-2022-0175_WDR_PKG.txt,2960_R4-2022-0175_WDR_PKG_260494.json,6571,9052,15623,5120,
Malaga CWD WWTF,Malaga CWD-r5-2020-0001_wdr.txt,Malaga CWD-r5-2020-0001_wdr_273180.json,5188,8377,13565,4160,
City of Manteca WW Quality Control Facility,r5-2021-0003_npdes.txt,r5-2021-0003_npdes_239343.json,5891,8808,14699,4288,
Marin CSD 5 - Tiburon WWTP,R2-2023-0018.txt,R2-2023-0018_239497.json,5153,8731,13884,3904,
Marin CSD 5 Paradise Cove WWTP,Paradise Cove - R2-2021-0017.txt,Paradise Cove - R2-2021-0017_239498.json,2904,8497,11401,2240,
Mariposa WWTP,r5-2017-0085-017.txt,r5-2017-0085-017_273207.json,5105,8269,13374,3904,
Maxwell PUD WWTF,R5-2009-0109.txt,R5-2009-0109_239874.json,5761,9140,14901,4864,
McKinleyville WWTP,2024_0023_mckinleyville_sc_npdes_signed.txt,2024_0023_mckinleyville_sc_npdes_signed_240093.json,5372,9421,14793,4416,
Mendocino City CSD,22_01mendo_npdes.txt,22_01mendo_npdes_240307.json,5523,8535,14058,4160,
Mendocino County WWD#2-Anchor Bay,21_0005_AnchorBay_WWTF_NPDES.txt,21_0005_AnchorBay_WWTF_NPDES_240318.json,3285,8472,11757,2816,
Millbrae WPCP,R2-2024-0005 (Millbrae NPDES Permit).txt,R2-2024-0005 (Millbrae NPDES Permit)_240791.json,6315,8621,14936,4928,
North Valley Regional Recycled Water Program - Modesto WWTP & Turlock RWQCF,r5-2022-0034.txt,r5-2022-0034_822960.json,6124,8574,14698,4544,
City of Modesto WQCF,mgo_amend_strike.txt,mgo_amend_strike_241146.json,2669,8117,10786,2304,
City of Modesto WQCF,modesto_wqcf_mgo_noa.txt,modesto_wqcf_mgo_noa_241146.json,5236,8622,13858,3520,
Montecito SD WWTP,20220829_Order R3-2022-0010_Final (ACC).txt,20220829_Order R3-2022-0010_Final (ACC)_241288.json,5506,8685,14191,4032,
Monterey One Water Regional WWTP,r3-2024-0045.txt,r3-2024-0045_241740.json,4689,8146,12835,3776,
Mountain House WWTP,r5-2023-0033-01_npdes.txt,r5-2023-0033-01_npdes_241598.json,6765,8399,15164,5504,
Mountain House WWTP,r5-2023-0033_npdes.txt,r5-2023-0033_npdes_241598.json,7457,8527,15984,5696,
Mountain House WWTP,r5-2023-0033_npdes_mod.txt,r5-2023-0033_npdes_mod_241598.json,7132,8527,15659,5440,
Mt. View Sanitary District WWTP,MVSD Final Order ADA.txt,MVSD Final Order ADA_241815.json,6038,8904,14942,3968,
Napa Sanitation District WWTP (Soscol Water Recycling Facility),Order_R2-2022-0003.txt,Order_R2-2022-0003_243858.json,5741,8997,14738,4160,
Cascade Shores WWTP,r5-2017-0085-015.txt,r5-2017-0085-015_213432.json,4716,8228,12944,3776,
Lake Wildwood WWTP,nvcosd1_wildwood_wwtp_final_noa.txt,nvcosd1_wildwood_wwtp_final_noa_236292.json,4047,8214,12261,2944,
Lake of the Pines WWTP,nvcosd1_lop_wwtp_final_noa.txt,nvcosd1_lop_wwtp_final_noa_236236.json,4419,8230,12649,3648,
Nevada City WWTP,r5-2022-0039_npdes.txt,r5-2022-0039_npdes_244141.json,6216,8606,14822,4544,
Newhall Ranch WRP,9322_R4-2024-0390_WDR_PKG.pdf.txt,9322_R4-2024-0390_WDR_PKG.pdf_658148.json,3590,9251,12841,2816,
Niland SD WWTP,R7-2025-0017.txt,R7-2025-0017_244348.json,4454,8571,13025,3584,
North San Mateo County Sanitation District WWTP,CA0037737 NSMCSD Order R2-2022-0036.txt,CA0037737 NSMCSD Order R2-2022-0036_244566.json,7500,8545,16045,6144,
Novato and Ignacio WWTP,R2-2026-0002.txt,R2-2026-0002_244705.json,5299,8928,14227,3968,
San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.txt,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21_255392.json,5824,8796,14620,4160,
San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.txt,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21_255392.json,913,8796,9709,896,
San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),Oceanside_Final_Adopted_Order_R9-2019-0166 (1).txt,Oceanside_Final_Adopted_Order_R9-2019-0166 (1)_255392.json,5816,8843,14659,4224,
San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),R9-2019-0166_Amended2020 signed dwg 08-17-20.txt,R9-2019-0166_Amended2020 signed dwg 08-17-20_255392.json,975,8880,9855,960,
San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),R9-2020-0190_Final_Order signed dwg 08-17-20.txt,R9-2020-0190_Final_Order signed dwg 08-17-20_255392.json,2383,8847,11230,2112,
Oceanside Ocean Outfall,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.txt,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21_245795.json,6642,8752,15394,4864,
Oceanside Ocean Outfall,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.txt,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21_245795.json,6779,8752,15531,5120,
Oceanside Ocean Outfall,Oceanside_Final_Adopted_Order_R9-2019-0166 (1).txt,Oceanside_Final_Adopted_Order_R9-2019-0166 (1)_245795.json,6693,8799,15492,5184,
Oceanside Ocean Outfall,R9-2019-0166_Amended2020 signed dwg 08-17-20.txt,R9-2019-0166_Amended2020 signed dwg 08-17-20_245795.json,5652,8836,14488,4096,
Oceanside Ocean Outfall,R9-2020-0190_Final_Order signed dwg 08-17-20.txt,R9-2020-0190_Final_Order signed dwg 08-17-20_245795.json,6319,8803,15122,4736,
"La Salina WWTP, Oceanside Ocean Outfall",AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21.txt,AmendedOrderR920190166_Digitally Signed signed dwg 12-14-21_236019.json,3716,8776,12492,2816,
"La Salina WWTP, Oceanside Ocean Outfall",AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21.txt,AmendingOrderR920210199_Digitally Signed signed dwg 12-14-21_236019.json,3699,8776,12475,2752,
"La Salina WWTP, Oceanside Ocean Outfall",Oceanside_Final_Adopted_Order_R9-2019-0166 (1).txt,Oceanside_Final_Adopted_Order_R9-2019-0166 (1)_236019.json,3709,8823,12532,2816,
"La Salina WWTP, Oceanside Ocean Outfall",R9-2019-0166_Amended2020 signed dwg 08-17-20.txt,R9-2019-0166_Amended2020 signed dwg 08-17-20_236019.json,3408,8860,12268,2496,
"La Salina WWTP, Oceanside Ocean Outfall",R9-2020-0190_Final_Order signed dwg 08-17-20.txt,R9-2020-0190_Final_Order signed dwg 08-17-20_236019.json,3710,8827,12537,2816,
Ojai Valley WWTP,Adopted Order Ojai NPDES CI 4245 12212023_ADAchecked.txt,Adopted Order Ojai NPDES CI 4245 12212023_ADAchecked_246616.json,5128,8594,13722,4288,
Olivehurst WWTP,r5-2021-0024_npdes.txt,r5-2021-0024_npdes_245949.json,5224,8418,13642,4096,
OCSD Plant 1,R8-2021-0010_OCSD.txt,R8-2021-0010_OCSD_758392.json,2674,8131,10805,2304,
