Place ID,FACILITY_NAME,has_kw_unit_process_data
239130,Madison WWTF,no
239291,Mammoth Mtn Ski Area WTF,no
237194,"V.A. Med Center, Livermore-WWTP",no
237286,Log Cabin Ranch WWTP,no
237325,Lone Pine WWTF,no
237543,Lower Moosa Canyon Recl Facil,no
237748,La Canada WWRP,no
236926,Lewis Carroll School,no
236967,Liberty High School WWTF,no
236985,Lift Station Equalization Pond,no
237069,Linden Co Water Dist WWTF,no
237114,Linnell Farm Labor Center,no
237123,Lion's Gate Reserve,no
242186,Malibu WPCP,no
242648,Meadowood Resort WWTP & Reuse,no
242706,Mendenhall-Munz Boys Camp WWTP,no
243377,Moorpark WRF - WRR,no
243988,Naval Radio Transmitting Fac,no
244080,Needles WWTP,no
241266,"Montair Subdivision, STP",no
241376,Moore's Resort WWTP Sewage Ponds,no
241479,Morro Bay/Cayucos WWTP,no
241826,Mountain Home Conservation Camp,no
240914,Miramonte Conservation Camp,no
241111,Moccasin Powerhouse,no
241143,Modesto Reservoir WWTP,no
239947,McSwain Rec Area WWTF,no
240003,McClure Lake Boat Club Trailer Park,no
240004,McClure Pt Rec Area,no
240289,San Mateo Memorial Park WWTP,no
240555,Mi-Wuk Village WW System,no
240716,Harney Lane Migrant Center,no
247509,Papas Taverna WWTP OWTS,no
247616,Pardee Reservoir Recreation Area,no
247731,Pasadera Reclamation Facility (Producer),no
247940,Penn Valley WWTP,no
247966,Peoria Flat Baseline Conservation Camp,no
245554,Oak Creek MHP WWTF,no
245805,Odd Fellows WWTF,no
246203,Orland WWTP,no
246381,Hartland Christian OWTS,no
247301,Pacific Union College WWTP,no
244565,North San Juan WW Facility,no
244567,North Shafter Farm Labor Camp,no
244646,Lake San Antonio Northshore WWTP,no
244703,Novato SD Recycled Water (2y) to Pasture,no
244785,NW Regional Waste Disp Fac,no
245520,O'Shaughnessy WWTP,no
245524,I-5 @ O'Brien SRRA,no
244174,New Don Pedro WW Facilities,no
244186,New Hogan Lake Recreational Areas,no
244392,EBMUD Recycled Water- North Richmond Water Reclamation Plant,no
244529,North Fork Mill Housing Facility,no
236755,Deer Meadow Leachfield,no
236765,Leavitt Lake Sewage Treatment Ponds,no
236786,Lee Vining WTF,no
236838,Leland Meadow WWTP,no
236857,Lemoore NAS WWTF,no
236887,Leonhardt Ranch Reclamation,no
236888,Leoni Meadows Retreat Camp,no
236297,I-5 @ Lakehead SRRA,no
236309,Lakeshore Resort at Bucks Lake,no
236336,Lakeside Trailer Park,no
236596,LAS GALLINAS Recycled Water- Pasture Irrigation,no
236601,Las Palmas Ranch Reclamation Facility,no
235102,Klamath CSD STP (Del Norte Community Development),no
236178,Lake Almanor West,no
236192,Lake Canyon Community WWTP,no
236225,Lake Kaweah/Terminus Dam,no
234126,June Mtn Ski Area Chalet,no
234854,Kern Co CSA 40-Pine Mountain Club,no
234913,Kern Valley Healthcare District WWTF,no
235051,Kings Canyon MHP,no
251975,"Reclam,OCWD-Green Acres",no
252254,Redwood Park STP,no
252613,Richardson Springs CSD,no
252695,Ridgecrest WTF,no
252762,Rio Ramaza WW Disposal Ponds,no
251021,Point Dume Club WWRP,no
251110,Quail Valley REC Park,no
251660,Creekside Village,no
251805,Rawhide Mobile Home Park WWTF,no
251857,Richardson Bay SD- Recycled Water,no
248903,Port Sonoma Marina WWTP Pond,no
248933,Portola Redwood State Park WWTP,no
249211,Princeton WWTP,no
248242,Pheasant Landing III HA WWTP,no
248442,Pinecrest WWTP,no
248573,Pla-Vada Community Assoc STP,no
248629,Plant #12,no
232428,Sanger Industrial WWTF,no
232429,Industrial WWTP,no
232625,Inyokern CSD WTF,no
232641,"Irish Beach Subdivision Units 1,2,3,4",no
232721,Isleton WWTP,no
230825,Humane Society of Sonoma County,no
230914,Huntington Pines Mutual Water Company,no
232097,I-5 & Jayne Avenue Facility,no
232151,Institute Noetic Science WWTP Mound System,no
232170,Super Store Industries Stockton,no
230034,Helms Housing & Support Facility,no
230037,PG&E Helms Plant,no
230118,Heritage House,no
230181,Hess Winery WWTP Pond System,no
230282,Hidden Valley Lake WRF,no
230290,Higgins Village WWTF,no
230706,Horseshoe Bend REC Area,no
229145,Granite Bay State Park,no
229817,Atlas Business Park,no
256005,Scotts Flat Reservoir Rec Area,no
256012,Scotts Valley WWTF Producer,no
256038,SCRWA Reclamation Facility and Use Areas,no
256057,SCWA Oceanic Properties Sea Ranch Central Plant,no
256154,Sonoma Raceway WWTP Ponds & Recycled Water,no
256218,Seeno Duck Club WWTP Evap Pond,no
255396,San Luis State REC Area,no
255417,San Mateo Co Honor Camp WWTP,no
255468,San Vicente WWTP,no
255535,Sandy Mush WWTF,no
255649,Santa Fe Valley WTP,no
255172,Samuel P Taylor St Pk WWTP,no
255372,San Lucas WWTF,no
255382,Gianelli (San Luis) Pump-Generate Plant WWTF,no
255383,San Luis Rec Area/Basalt Camp,no
255386,San Luis Rey Water Reclamation Facility - Recycled Water and Pure Water,no
252782,Ripon Industrial & Domestic TP,no
252813,River City WWTF,no
253256,Rollins Reservoir Rec Areas,no
253766,Rancho Las Virgenes Farm,no
254304,River Community STP,no
255081,Salida WWTP,no
255136,Lytton Rancheria Lytton Springs Facility,no
258160,Napa Valley Marina Sewage Ponds,no
258677,Stillwater WWTP Reclamation,no
258683,"Stinson Beach- OWTS in Stinson Beach, Marin County",no
258777,Stonehurst SD-6 WWTP,no
258792,Stones-Bengard Sewage Treatment Ponds,no
259143,Stovepipe Wells Village,no
257648,Twin Creek Condominiums (Solano Co) WWTP,no
257927,Southeast Regional WW System,no
258043,Spanish Flat WWT & Disposal Facility,no
258159,Spirit Rock Meditation Center WWTP,no
256695,Martinez Refining Company WWTP,no
256893,Sierra Army Depot Sewage Treatment Plant,no
256920,Sierra Conservation CTR-WWTP-1 (NON15),no
256972,Sierra Ridge WWTP,no
257388,Skywalker Ranch WWTPs,no
257519,SMWD-Nichols Reseach Inst WRF,no
256301,Badger Hill Septic Tank Management Program,no
256307,Sequoia Dawn Apartments WWTF,no
256309,Sequoia Field WWTF,no
256315,Rush Creek OWTS,no
256316,Sequoia Woods/Mountain Retreat WWTF,no
256477,Auberge Du Soleil WWTP,no
256483,Soledad Water Reclamation Facility,no
260064,San Clemente Island WWTP,no
260176,San Luis Hills WWTF,no
262987,Taylorsville STP,no
262995,TCWD - Crystal Canyon WRP (Formerly Goren WWTP),no
262996,TCWD Robinson Ranch WRF,no
263080,Tehama-Colusa Canal Facility Sewage,no
259219,Thousand Trails RV Park - Idyllwild,no
259226,Wagon Train Road Package Plant,no
259325,Success Reservoir Campground,no
259336,Sugar Pine OWTS,no
259508,Sunnyvale Recycled Water Program,no
259717,Sutter Creek WWTP,no
259187,Creekside MHP WWTP,no
259190,Forest Home CC WWTP,no
259194,EVMWD Horsethief Canyon WWTP,no
259197,Lytle Creek WWTP,no
259198,Western Water Recycling Facility,no
259201,Farm MWC WWTP,no
259204,Pine Springs Ranch WWTP,no
259212,Silent Valley RV Park WWTP,no
259152,Rancho Caballero WWTP,no
259153,Western Hills WWRF,no
259157,Lake Hemet MWD WWTP,no
259160,Running Springs WWTP,no
259163,STP 10 & 11,no
259185,CIM WWTP,no
227980,Gridley WWTF,no
228016,Grizzly Creek Ranch WWTF,no
228018,Grizzly Ranch CSD,no
228067,Growlersburg Conservation Camp,no
228152,Toribio Gutierrez Sewage Ponds,no
229051,Gorman WWTP,no
227503,Golden Hills WWTF,no
227713,Graeagle Meadows Townhomes,no
227918,Greenville Wastewater Ponds,no
227962,Grenada Sanitary District STP,no
227140,Gibson Canyon Creek WWTP,no
227352,Glenwood Boys Ranch WWTP,no
227425,Gold Beach Park,no
227445,"Gold Ridge HA, UNIT III",no
224889,Forest Meadows WWT & RP,no
224893,Forest Springs WWTF,no
225411,French Ranch Community WWTP,no
225534,Fort Hunter Liggett WWTP,no
225881,Fillmore WWTP and Wastewater Recycling Plant,no
226847,Gayla Manor WWTP,no
227080,Gerber STP,no
269335,Upper Sherman Tree OWTS,no
269534,USACOE Lake Sonoma Waste System,no
269584,USFS Orleans Ranger Station STP,no
269591,USMC-MWTC WWTC,no
266795,Twain Harte WWTP,no
267585,Tivoli Cove WWTP,no
267637,Top O'Topanga Community Association WWTP,no
268923,"UC Davis, Bodega Marine Lab (WDR)",no
264856,Toyon Middle School,no
266519,Trona & Pioneer Point WTF,no
266620,I5 Eastside Wastewater Discharge Ponds,no
263090,Tejon Ranch - Grapevine,no
263091,Tejon Headquarters WWTF,no
263621,Thornton Farm Labor Camp,no
264524,Ratna Ling Retreat Center,no
264662,Tomales Village WWTP,no
272945,Woodfords Indian Colony WTDF,no
272986,Woodville Farm Labor Center,no
272989,Woodward Reservoir Reg Park,no
273114,Firebaugh WWTF,no
273124,Maricopa Wastewater Disposal Facility,no
272434,WHITE OAKS SUBDIVISION Onsite WW Treatment System,no
272456,Whitehawk Ranch WWTP,no
272480,Whitmore Maintenance Station,no
272537,Wild Wings Water Recycling Facility,no
272563,Wildwood Est Leachfield,no
272758,Windflower Point STP,no
271808,San Luis Obispo Water Reclamation Facility,no
271942,Weed Shastina WWTP,no
272279,Westley Comm Sewage Trt Fac,no
270105,Valley Springs SD WWTF,no
270618,Vintners Inn,no
271593,Walker Creek Ranch WWTP,no
271740,Wasco State Prison WWTF,no
271771,Napa Valley Country Club WWTP Ponds,no
271772,St Helena Hospital WWTP,no
224057,Fairbanks Ranch WPCF,no
224084,Fairfield-Suisun Water Recycling,no
224125,Fall River Mills STP,no
224429,"Fiero Lane Water Company, Inc.",no
224503,FIRESTONE BUSINESS PARK Onsite WW Treatment System,no
224692,Flying J #613,no
222436,El Dorado MHP WWTF,no
222442,"El Estero Reclamation Facility, Recycle Water Use",no
222624,Elkhorn Safety Roadside Rest Area,no
222628,Elkus Youth Ranch WWTP,no
222803,Englebright Lake WWTF,no
222947,Esparto CSD WWTF,no
220932,Desert Water Agency Recycled Water Facility,no
221974,Eagles Nest Leachfield,no
221988,Early Intake Wastewater System,no
222071,Eastern Sierra CSD WWTF,no
222144,Echo Mars Ponds,no
222359,Avenal State Prison-Effluent Storage Reservoir,no
220454,DOMESTIC WASTEWATER T&DFs,no
220469,Livingston Domestic WWTF,no
220470,Domestic WWTF (SAC CO SD 1),no
220494,Don Pedro Houseboats/Mini Mart,no
220804,Duffy's Myrtledale WW Ponds,no
220841,Dunnigan Roadside Rest WWTF,no
273177,Lemon Cove WWTF,no
273179,Lost Hills WWTF,no
273184,Richgrove WWTF,no
273186,Santa Nella WWTF,no
273189,Snelling WWTF,no
273190,Springville WWTF,no
273159,Yosemite-Mariposa KOA WWTF,no
273163,Biola WWTF,no
273164,Buttonwillow WWTF,no
273169,Earlimart WWTF,no
273176,Le Grand WWTF,no
273141,Hilmar CWD WWTF,no
273142,Kern Sanitation Authority WWTF,no
273145,Canyon Fork WWTF,no
273128,Parlier WWTF,no
273130,Porterville WWTF,no
273136,Tehachapi WWTF,no
219551,Delta Conservation Camp,no
219738,USDI NPD Devils Postpile Facilities,no
220429,Dodge Ridge Resort WWTF,no
219219,Davis Migrant Center WWTF,no
219280,"DDJC, Tracy - WWTP, Stormwater",no
219395,Deer Creek RV Park,no
219497,Del Rio CSD WWTF,no
219502,Del Valle Regional Park WWTP,no
216284,CSA 3-Lake Camanche WWTP,no
216322,CWMS WWTP (at Markham Vineyards),no
216797,Camp Arroyo at Del Valle R.P.,no
216832,Camrosa Water Reclamation Facility,no
216087,Creekside Subdivision,no
216135,Crestline SD Three WTF's,no
216157,Crocker Mountain Estates STP,no
216283,CSA 15 - STP,no
709408,Marshall Community WWTP,no
718887,The Farmhouse Inn,no
719232,Kings River UESD OWTS,no
721549,Cascade MHP WWTF,no
722666,Mayacama Ranch,no
723734,Delta Diablo SD Recycled Water Program (RB2),no
643085,Lytle Creek North WWTP,no
274506,Yosemite Pines RV Park,no
274512,Yosemite Vista Estates,no
274513,Yosemite West MD WWTF,no
274534,Yreka Biosolids Disposal Facility,no
274558,Yuba Cnty Motorplex WWTF,no
602220,Bohemian Grove,no
273193,Terra Bella WWTF,no
274498,Yosemite Lakes Campground,no
274503,Yosemite Nat Prk Hodgdon MDW,no
274504,Tuolumne Meadows WWTF,no
214903,Yosemite Lakes Clubhouse Facility,no
215073,Colonel Allensworth State Historic Park,no
215515,"Consolidated Tribal Health Project, Inc.",no
215637,Cool Village WWTF,no
214008,CDF Chamberlain Creek Conservation Camp,no
214327,Chico Mobile Country Club WWTP,no
214541,Cinnabar Hills Golf Club WWTP,no
214660,San Jose City Family Camp,no
213592,CDC CCWF & VSP WWTF,no
213596,CDC Pelican Bay Prison WWTP,no
213791,Cedar Grove WWTF,no
213792,Cedar Lodge WWTF,no
213947,Ceres WWTP,no
213029,Canada Woods Reclamation Facility,no
213154,Caples Lake Maint Station,no
213294,Carmel Valley Ranch WWTP (Producer),no
213470,Caspar South Water District,no
213561,Carmel Reclamation,no
765314,SASM Recycled Water Program,no
766648,Malibu Civic Center WWTF,no
766948,"Sonoma-Cutrer Vineyards, Inc. Domestic Waste",no
768050,Maxwell PUD and Francis Crinella Biosolids Land Application Proj,no
769213,Novato Sanitary District Recycled Water (3y),no
770632,Jordan Winery Onsite Wastewater Treatment System (Domestic Waste),no
753205,EBMUD Recycled Water - RARE WTP,no
754176,Chimney Rock Winery WW Pond,no
759028,SCICON WWTF,no
759421,Wal-Mart Hanford Pharmacy Distribution Facility,no
764881,Napa Sanitation District Recycled Water Program,no
764886,American Canyon Water Recycling Program,no
741394,Central Contra Costa SD Water Recycling,no
750984,Nick's Cove & Cottages WWTP,no
726877,Caruthers WWTF,no
726883,Pixley WWTF,no
