CWNS Number,Agency,Facility_Name,Facility/Project Name_y,Region_y,Region,Permit Number_x,PDF_File
06008010005,Inland Empire Utilities Agency,IEUA Regional Plant No. 2,IEUA Regional Plant No.5,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008022001,Orange CSD,OCSD Plant 2,OCSD WRP No. 1,8,9,CA0110604,R8-2021-0010_OCSD.pdf
06008022001,Orange CSD,OCSD Plant 1,OCSD WRP No. 1,8,9,CA0110604,R8-2021-0010_OCSD.pdf
06008022002,Orange CSD,OCSD Plant 2,OCSD WWTP No. 2,8,9,CA0110604,R8-2021-0010_OCSD.pdf
06008022002,Orange CSD,OCSD Plant 1,OCSD WWTP No. 2,8,9,CA0110604,R8-2021-0010_OCSD.pdf
06008085001,Eastern Municipal Water District,Temescal Creek Outfall,Temecula Valley Regional WRF,8,9,CA8000188,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,Latham WWTP,9,9,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,Latham WWTP,9,9,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,Latham WWTP,9,9,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,Latham WWTP,9,9,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,Latham WWTP,9,9,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,Latham WWTP,9,9,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,Latham WWTP,9,9,CA0107417,att._1_to_amending_order_sjcoo.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,Latham WWTP,9,9,CA0107417,att._1_to_amending_order_sjcoo.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,Latham WWTP,9,9,CA0107417,att._1_to_amending_order_sjcoo.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,Latham WWTP,9,9,CA0107417,att._1_to_amending_order_sjcoo.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,Latham WWTP,9,9,CA0107417,att._1_to_amending_order_sjcoo.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,Latham WWTP,9,9,CA0107417,att._1_to_amending_order_sjcoo.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,Latham WWTP,9,9,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,Latham WWTP,9,9,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,Latham WWTP,9,9,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,Latham WWTP,9,9,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,Latham WWTP,9,9,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,Latham WWTP,9,9,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,Latham WWTP,9,9,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,Latham WWTP,9,9,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,Latham WWTP,9,9,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,Latham WWTP,9,9,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,Latham WWTP,9,9,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf
06009019001,SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,Latham WWTP,9,9,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf
