REPORT_YEAR,CWNS_NUMBER,TREATMENT_TYPE,UNIT_PROCESS,SORT_SEQUENCE,PRES_IND,PROJ_IND,CHANGE_TYPE,BACKUP_IND,PLANNED_YEAR,ADDITIONAL_NOTES,LAST_UPDATED_TS,KEEP_UP,BLANK,CHGTP_NAME_CAT,KEEP_UP_CODE,Notes
2004,1000007002,Mechanical,Trickling Filter - Rock Media,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Mechanical,Activated Sludge - Conventional,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Aerobic Digestion - Air,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Grit Removal,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Mechanical,Post Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000009001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Mechanical,Activated Sludge - Extended Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Aerobic Digestion - Air,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Gravity Thickening,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Grit Removal,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Mechanical,Post Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Mechanical,Secondary Clarification,,Y,Y,No Change,,,,,1,,,,
2004,1000009002,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Mechanical,Activated Sludge - Contact Stabilization,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Aerobic Digestion - Air,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Flow Equalization,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Mechanical,Oxidation Ditch,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Mechanical,Post Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Other,Preaeration,,Y,Y,No Change,,,,,1,,,,
2004,1000010001,Mechanical,Secondary Clarification,,Y,Y,No Change,,,,,1,,,,
